A,B
2,1
1,2
2,3
2,4
3,6
4,6
4,7
6,8
5,10
6,13
6,14
7,16
9,16
7,18
9,18
10,18
8,19
9,19
10,19
8,20
9,21
13,22
15,22
13,23
14,23
16,23
12,24
15,24
15,25
16,25
16,26
11,27
12,27
13,27
14,27
11,28
15,28
16,28
11,29
14,29
16,29
13,30
14,30
15,30
11,31
12,31
13,31
14,31
14,32
15,32
16,32
13,33
14,33
16,33
17,34
17,35
17,37
19,38
19,39
19,40
20,41
21,42
22,42
23,42
23,43
20,44
23,44
21,45
24,48
24,50
25,51
26,51
27,52
25,53
25,54
28,58
28,59
29,61
30,61
29,62
29,63
31,64
31,65
31,66
31,67
34,69
35,69
32,70
34,72
32,73
35,73
32,74
33,74
35,74
37,75
38,75
39,75
36,76
38,76
41,76
42,76
36,77
38,77
40,77
41,77
36,78
38,78
37,79
39,79
40,79
36,80
42,80
37,81
38,81
39,81
41,81
43,82
43,83
44,83
45,88
45,89
45,90
48,93
49,93
47,94
46,96
49,96
48,97
46,98
47,98
48,98
46,99
47,100
48,100
50,103
51,106
53,108
52,111
52,112
55,115
55,116
56,118
56,119
57,120
57,121
58,122
59,123
60,123
58,124
59,124
58,125
59,125
60,125
59,126
60,126
58,127
59,127
60,127
61,128
62,128
65,128
66,128
68,128
63,129
66,129
68,129
61,130
63,130
64,130
65,130
66,130
67,130
68,130
65,131
67,131
61,132
63,132
66,132
61,133
63,133
65,133
66,133
67,133
68,133
62,134
63,134
65,134
68,134
61,135
61,136
64,136
66,136
68,136
62,137
65,137
66,137
70,141
71,141
72,141
70,142
72,142
70,143
70,144
72,145
72,146
71,147
75,148
76,148
77,148
75,149
76,149
77,149
75,150
76,150
74,151
75,151
76,151
73,152
74,152
75,152
73,153
73,154
75,154
76,154
77,154
74,155
73,156
77,156
74,157
77,157
74,158
77,158
78,161
78,162
79,165
82,167
80,168
82,168
80,170
81,170
82,170
80,171
80,173
81,173
82,173
82,174
80,175
82,175
80,176
82,176
83,177
84,182
85,182
86,182
84,183
86,183
86,184
87,185
88,185
91,185
89,186
90,186
87,187
88,187
90,187
89,189
90,189
91,189
91,190
89,191
90,191
87,192
89,192
90,192
91,192
88,193
89,193
90,193
92,194
92,195
92,196
92,197
92,199
92,200
94,203
93,204
94,204
93,205
95,206
97,212
98,212
96,213
97,213
99,216
100,218
101,218
103,218
100,219
102,219
100,220
102,220
105,220
103,222
105,222
101,223
102,223
103,223
100,224
102,224
104,224
100,225
101,225
102,225
103,225
104,225
105,225
107,226
106,228
108,229
109,229
109,230
108,232
111,233
111,235
110,236
111,238
110,239
111,239
113,241
113,242
114,242
112,244
114,245
116,246
115,247
116,248
117,249
119,249
120,249
119,250
118,251
119,251
122,251
123,251
118,252
119,252
121,252
119,253
120,253
121,253
122,253
117,254
118,254
119,254
120,254
124,255
125,255
124,257
125,257
124,258
