A,B
2,1
3,2
2,3
4,4
3,5
3,6
2,7
1,8
3,9
5,10
2,11
2,12
1,13
1,14
2,15
2,16
3,17
2,18
3,19
3,20
3,21
4,22
3,23
1,24
3,25
4,26
2,27
4,28
1,29
1,30
1,31
5,32
3,33
5,34
1,35
5,36
3,37
3,38
1,39
3,40
1,41
3,42
3,43
5,44
3,45
5,46
4,47
2,48
4,49
1,50
1,51
3,52
2,53
4,54
2,55
1,56
5,57
3,58
1,59
4,60
3,61
2,62
3,63
4,64
5,65
3,66
2,67
3,68
3,69
5,70
3,71
4,72
5,73
2,74
5,75
4,76
3,77
3,78
3,79
3,80
5,81
2,82
5,83
5,84
2,85
2,86
1,87
3,88
4,89
5,90
5,91
2,92
5,93
5,94
5,95
4,96
1,97
1,98
1,99
2,100
5,101
2,102
4,103
5,104
4,105
1,106
4,107
3,108
1,109
2,110
1,111
5,112
2,113
3,114
4,115
3,116
5,117
3,118
1,119
4,120
3,121
5,122
5,123
3,124
1,125
4,126
4,127
3,128
3,129
4,130
1,131
4,132
2,133
5,134
1,135
4,136
4,137
1,138
2,139
2,140
2,141
3,142
4,143
4,144
1,145
4,146
1,147
5,148
5,149
2,150
5,151
3,152
1,153
4,154
3,155
3,156
4,157
5,158
1,159
5,160
2,161
3,162
2,163
