A,B
2,1
1,1
2,2
2,3
2,4
1,4
1,5
1,6
2,7
1,7
1,8
2,9
1,10
2,10
1,11
2,12
1,12
1,13
2,13
2,14
1,14
1,15
2,16
1,16
1,17
2,17
2,18
1,19
1,20
2,21
1,22
1,23
2,24
1,25
2,26
1,27
2,27
2,28
1,29
2,30
2,31
1,31
1,32
2,32
1,33
2,34
2,35
1,35
1,36
2,36
2,37
1,38
2,38
1,39
1,40
2,41
1,42
2,42
2,43
1,43
2,44
1,45
2,45
2,46
1,46
1,47
2,47
3,48
4,48
3,49
4,49
4,50
4,51
3,52
4,52
3,53
4,53
4,54
3,54
4,55
3,55
3,56
4,56
3,57
3,58
4,58
3,59
4,60
3,60
4,61
3,62
3,63
4,64
3,65
4,66
4,67
3,67
4,68
3,69
4,70
3,71
4,72
3,73
4,73
4,74
3,74
4,75
3,75
4,76
3,76
3,77
4,77
4,78
3,78
4,79
3,80
4,80
3,81
4,81
3,82
3,83
4,84
3,85
3,86
3,87
3,88
3,89
4,89
3,90
3,91
4,92
3,92
3,93
4,93
3,94
4,94
4,95
4,96
4,97
4,98
3,98
3,99
3,100
4,100
4,101
3,101
3,102
4,102
4,103
3,103
3,104
3,105
6,106
5,106
5,107
6,107
5,108
6,108
6,109
6,110
5,110
6,111
5,111
6,112
5,113
6,113
6,114
5,114
5,115
6,115
6,116
5,116
6,117
5,117
5,118
6,118
6,119
6,120
5,121
6,122
5,122
5,123
6,123
6,124
5,125
5,126
5,127
5,128
6,128
5,129
6,129
6,130
5,130
5,131
6,132
5,133
6,134
5,134
5,135
6,135
5,136
6,136
5,137
6,138
5,139
6,139
5,140
6,140
5,141
6,141
5,142
5,143
6,143
5,144
6,144
6,145
6,146
5,146
6,147
5,148
5,149
6,150
5,150
5,151
6,152
6,153
5,153
6,154
5,155
5,156
5,157
6,157
6,158
5,158
6,159
5,160
6,160
6,161
5,161
6,162
5,162
6,163
5,164
6,164
6,165
5,165
6,166
5,166
6,167
6,168
6,169
5,169
5,170
6,170
5,171
6,171
5,172
6,172
5,173
6,173
5,174
5,175
6,175
5,176
6,177
5,177
5,178
5,179
6,179
6,180
6,181
5,181
5,182
6,182
5,183
6,184
5,185
6,185
5,186
6,186
6,187
5,187
5,188
6,189
5,189
5,190
6,190
6,191
5,191
5,192
6,192
5,193
6,193
6,194
5,194
6,195
5,195
5,196
5,197
6,197
5,198
6,199
5,200
5,201
5,202
6,202
6,203
5,203
5,204
6,204
5,205
6,205
5,206
6,206
5,207
6,208
5,208
5,209
6,210
5,210
5,211
6,211
5,212
6,212
5,213
6,213
6,214
6,215
6,216
5,216
6,217
6,218
5,218
6,219
5,220
6,220
5,221
5,222
6,223
5,223
5,224
6,225
5,226
6,226
5,227
6,227
6,228
5,228
5,229
6,230
5,231
6,231
5,232
5,233
6,233
5,234
5,235
6,235
6,236
5,237
6,238
5,238
6,239
5,239
5,240
6,241
6,242
6,243
5,243
5,244
6,244
9,245
7,245
10,246
8,246
7,246
9,246
7,247
10,247
9,248
7,248
9,249
