A,B
1,15
2,84
3,82
4,68
5,24
6,47
7,32
8,19
9,72
10,60
11,29
12,36
13,86
14,5
15,28
16,15
17,70
18,11
19,8
20,75
21,21
22,42
23,10
24,58
25,19
26,57
27,45
28,11
29,46
30,49
31,38
32,122
33,126
34,116
35,127
36,126
37,129
38,123
39,106
40,135
41,135
42,146
43,146
44,159
45,156
46,159
47,178
48,181
49,190
50,201
51,250
52,211
53,237
54,198
55,267
56,253
57,224
58,253
59,267
60,240
61,207
62,220
63,232
64,267
65,253
66,264
67,238
68,229
69,264
70,212
71,274
72,276
73,293
74,291
75,292
76,285
77,284
78,287
79,309
80,321
81,334
82,331
83,327
84,308
85,304
86,304
87,318
88,322
89,331
90,321
91,340
92,346
93,351
94,355
95,388
96,389
97,363
98,381
99,403
100,405
101,406
102,408
103,396
104,413
105,415
106,411
107,425
108,414
109,422
110,445
111,445
112,432
113,478
114,476
115,471
116,510
117,507
118,522
119,512
120,488
121,488
122,510
123,515
124,486
125,504
126,490
127,526
128,486
129,508
130,487
131,490
132,530
133,534
134,548
135,584
136,595
137,575
138,558
139,554
140,552
141,629
142,638
143,625
144,628
145,625
146,623
147,629
148,617
149,615
150,609
151,618
152,608
153,626
154,686
155,687
156,690
157,709
158,719
159,706
160,741
161,747
162,775
163,742
164,745
165,750
166,798
167,759
168,802
169,824
170,810
171,843
172,837
173,833
174,883
175,880
176,869
177,860
178,908
179,918
180,885
181,870
182,943
183,925
184,941
185,947
186,937
187,919
188,955
189,948
190,957
191,981
192,957
193,960
194,957
195,968
196,986
197,973
198,963
199,984
200,1000
201,1000
202,1015
203,1021
204,1008
205,1054
206,1054
207,1069
208,1088
209,1119
210,1085
211,1081
212,1087
213,1121
214,1111
215,1123
216,1127
217,1129
218,1172
219,1188
220,1171
221,1185
222,1165
223,1181
224,1147
225,1182
226,1194
227,1178
228,1147
229,1184
230,1168
231,1164
232,1167
233,1157
234,1138
235,1172
236,1143
237,1159
238,1184
239,1156
240,1142
241,1192
242,1182
243,1141
244,1153
245,1175
246,1207
247,1266
248,1235
249,1229
250,1232
251,1234
252,1243
253,1223
254,1261
255,1221
256,1271
257,1279
258,1279
259,1286
260,1297
261,1297
262,1331
263,1335
264,1348
265,1349
266,1342
267,1351
268,1351
269,1361
270,1395
271,1407
272,1412
273,1441
274,1427
275,1478
276,1433
277,1461
278,1486
279,1484
280,1445
281,1457
282,1449
283,1468
284,1484
285,1490
286,1479
287,1458
288,1470
289,1495
290,1444
291,1446
292,1430
293,1456
294,1432
295,1436
296,1479
297,1490
298,1444
299,1432
300,1521
301,1543
302,1539
303,1541
304,1546
305,1532
306,1527
307,1550
308,1561
309,1560
310,1567
311,1571
312,1585
313,1597
314,1603
315,1651
316,1660
317,1662
318,1661
319,1726
320,1746
321,1721
322,1720
323,1700
324,1686
325,1707
326,1701
327,1715
328,1722
329,1697
330,1698
331,1724
332,1736
333,1729
334,1728
335,1689
336,1711
337,1708
338,1668
339,1787
340,1775
341,1800
342,1795
343,1859
344,1847
345,1852
346,1845
347,1821
348,1810
349,1836
350,1805
351,1820
352,1812
353,1832
354,1805
355,1854
356,1813
357,1808
358,1880
359,1898
360,1918
361,1913
362,1941
363,1941
364,1933
365,1950
366,1958
367,1975
368,1977
369,1980
370,1962
371,1964
372,1971
373,1967
374,1995
375,1991
376,1990
377,1999
378,2007
379,2032
380,2038
381,2025
382,2038
383,2045
384,2029
385,2049
386,2049
387,2078
388,2047
389,2063
390,2055
391,2073
392,2046
393,2055
394,2082
395,2077
396,2090
397,2089
398,2104
399,2101
400,2102
401,2100
402,2108
403,2145
404,2131
405,2144
406,2210
407,2181
408,2184
409,2213
410,2193
411,2188
412,2200
413,2221
414,2178
415,2193
416,2194
417,2194
418,2203
419,2214
420,2213
421,2227
422,2225
423,2234
424,2246
425,2241
426,2253
427,2278
428,2295
429,2298
430,2300
431,2294
432,2290
433,2328
434,2305
435,2326
436,2301
437,2324
438,2318
439,2320
440,2306
441,2323
442,2348
443,2402
444,2400
445,2371
446,2370
447,2356
448,2349
449,2387
450,2358
451,2397
452,2394
453,2357
454,2397
455,2384
456,2361
457,2353
458,2377
459,2360
460,2420
461,2428
462,2418
463,2421
464,2413
465,2424
466,2407
467,2410
468,2430
469,2441
470,2448
471,2452
472,2485
473,2503
474,2502
475,2462
476,2472
477,2510
478,2505
479,2561
480,2525
481,2512
482,2526
483,2526
484,2544
485,2513
486,2507
487,2515
488,2540
489,2515
490,2537
491,2506
492,2525
493,2536
494,2522
495,2563
496,2560
497,2536
498,2565
499,2620
500,2614
501,2610
502,2614
503,2627
504,2617
505,2637
506,2596
507,2595
508,2622
509,2598
510,2603
511,2596
512,2659
513,2665
514,2647
515,2664
516,2655
517,2648
518,2658
519,2647
520,2642
521,2655
522,2674
523,2690
524,2691
525,2675
526,2687
527,2692
528,2680
529,2689
530,2693
531,2693
532,2673
533,2703
534,2705
535,2723
536,2720
537,2712
538,2721
539,2735
540,2740
541,2734
542,2759
543,2778
544,2758
545,2771
546,2755
547,2785
548,2777
549,2773
550,2767
551,2776
552,2760
553,2808
554,2804
555,2789
556,2814
557,2786
558,2802
559,2800
560,2801
561,2814
562,2882
563,2869
564,2825
565,2872
566,2856
567,2863
568,2822
569,2831
570,2885
571,2873
572,2842
573,2841
574,2833
575,2851
576,2839
577,2875
578,2881
579,2875
580,2877
581,2857
582,2867
583,2871
584,2864
585,2878
586,2866
587,2826
588,2842
589,2867
590,2848
591,2940
592,2895
593,2978
594,2952
595,2956
596,2951
597,3017
598,2959
599,3017
600,2944
601,2945
602,2965
603,2995
604,3023
605,2978
606,2945
