id,type,enable,body,value,business_id
1,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,1
2,NEW_REWARD,1,Congrats! You just earned a new reward.,0,1
3,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,1
4,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,1
5,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,2
6,NEW_REWARD,1,Congrats! You just earned a new reward.,0,2
7,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,2
8,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,2
9,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,3
10,NEW_REWARD,1,Congrats! You just earned a new reward.,0,3
11,INACTIVITY_SHORT,0,We miss you! It has been a while. Come earn points.,60,3
12,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,3
13,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,4
14,NEW_REWARD,1,Congrats! You just earned a new reward.,0,4
15,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,4
16,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,4
17,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,5
18,NEW_REWARD,1,Congrats! You just earned a new reward.,0,5
19,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,5
20,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,5
21,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,6
22,NEW_REWARD,1,Congrats! You just earned a new reward.,0,6
23,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,6
24,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,6
25,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,7
26,NEW_REWARD,1,Congrats! You just earned a new reward.,0,7
27,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,7
28,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,7
29,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,8
30,NEW_REWARD,0,Congrats! You just earned a new reward.,0,8
31,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,8
32,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,8
33,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,9
34,NEW_REWARD,1,Congrats! You just earned a new reward.,0,9
35,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,9
36,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,9
37,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,10
38,NEW_REWARD,0,Congrats! You just earned a new reward.,0,10
39,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,10
