id,google_id,enable,display_name,address,latitude,longitude,notification_text,google_maps_review_url,country_id,business_branch_id
1,ChIJ1BA0A1A8,1,Daily Bread - Main Branch,C. de Humberto Salcedo 74,40.482883,-3.635793,You are near Daily Bread. Come earn points!,https://g.page/r/7b327dca,1,1
2,ChIJF439B3AA,1,Daily Bread - City Center,Camino de Gabino Múñiz 11,37.910451,-4.776231,You are near Daily Bread. Come earn points!,https://g.page/r/f8e611cb,1,2
3,ChIJEEB3497D,1,TechCorner - Main Branch,Andador Querétaro 176 Interior 064,32.502703,-116.98399,You are near TechCorner. Come earn points!,https://g.page/r/9d13a89c,2,3
4,ChIJ9175F6BE,1,TechCorner - City Center,"Avenida Sonora 589 Edif. 863 , Depto. 032",21.892505,-102.318395,You are near TechCorner. Come earn points!,https://g.page/r/716a3b7c,2,4
5,ChIJE078A671,1,Daily Market - Main Branch,Vial de Odalys Montoya 264,38.318917,-0.502818,You are near Daily Market. Come earn points!,https://g.page/r/86780d00,1,5
6,ChIJ65D474E7,1,Daily Market - South,Rambla Vilma Agustín 9 Piso 6 ,42.815169,-2.668109,You are near Daily Market. Come earn points!,https://g.page/r/03efaa81,1,6
7,ChIJ9965BB83,1,LangCorner - Main Branch,Plaza de Ruben Caparrós 46,37.127561,-3.612449,You are near LangCorner. Come earn points!,https://g.page/r/4ee701f8,1,7
8,ChIJD1EE1C5A,1,LangCorner - University,Paseo Toribio Borrego 779 Piso 1 ,41.610719,-4.71778,You are near LangCorner. Come earn points!,https://g.page/r/1157bd8d,1,8
9,ChIJB8E0D123,1,LangCorner - Market,C. Mateo Verdugo 540,37.904546,-4.7871,You are near LangCorner. Come earn points!,https://g.page/r/36b2a201,1,9
10,ChIJ1AB45386,1,LangCorner - Suburbs,Rambla Emiliana Blazquez 750 Piso 9 ,41.702274,-0.849581,You are near LangCorner. Come earn points!,https://g.page/r/91f157fe,1,10
11,ChIJ8429CD83,1,SmilePoint - Main Branch,"Pasaje Díaz 710 Edif. 142 , Depto. 218",31.728556,-106.370664,You are near SmilePoint. Come earn points!,https://g.page/r/9fc59bc6,2,11
12,ChIJ1B3B41E8,1,SmilePoint - Business District,Eje vial Báez 578 950,20.594176,-103.372171,You are near SmilePoint. Come earn points!,https://g.page/r/e2bd41eb,2,12
13,ChIJ4968D5F8,1,SmilePoint - East,Periférico Gallardo 415 Interior 727,21.915643,-102.237817,You are near SmilePoint. Come earn points!,https://g.page/r/4b137eab,2,13
14,ChIJ6EF5854F,1,SmilePoint - Suburbs,Corredor República de Corea 777 424,21.229869,-86.88125,You are near SmilePoint. Come earn points!,https://g.page/r/df3cd719,2,14
15,ChIJ2EA62D65,1,SmilePoint - Harbor,Calzada Miranda 977 Interior 393,20.660634,-103.375285,You are near SmilePoint. Come earn points!,https://g.page/r/7db8b05a,2,15
16,ChIJ370E9E01,1,SmilePoint - City Center,"Ampliación Gutiérrez 158 Edif. 949 , Depto. 412",21.157986,-101.729596,You are near SmilePoint. Come earn points!,https://g.page/r/53afcfa3,2,16
17,ChIJD4D23E4A,1,ActiveLife - Main Branch,Pasaje Cintia Torres 33 Apt. 29 ,40.470645,-3.697409,You are near ActiveLife. Come earn points!,https://g.page/r/09f97947,1,17
18,ChIJ239DD909,1,ActiveLife - South,Rambla de Toño Tomé 2 Apt. 35 ,43.226788,-2.896618,You are near ActiveLife. Come earn points!,https://g.page/r/0e4cb75b,1,18
