id,name,business_id,uid,active,visible
1,Main Branch,1,9c673394,1,1
2,City Center,1,ed74d864,1,1
3,Main Branch,2,d786e8ca,1,1
4,City Center,2,095dcd7c,1,1
5,Main Branch,3,66cb2241,1,1
6,South,3,67a0c9ee,1,1
7,Main Branch,4,93d8030f,1,1
8,University,4,88b5e3d2,1,1
9,Market,4,bb515adc,1,1
10,Suburbs,4,3e56ec99,1,1
11,Main Branch,5,5d64c9c7,1,1
12,Business District,5,b156dfd6,1,1
13,East,5,34b8f158,1,1
14,Suburbs,5,e5f0d4b6,1,1
15,Harbor,5,c97beff5,1,1
16,City Center,5,68816940,1,1
17,Main Branch,6,1321353d,1,1
18,South,6,dd668214,1,1
19,Main Branch,7,ba1e56f9,1,1
20,Main Branch,8,cfa6d000,1,1
21,South,8,79a86bc3,1,1
22,East,8,347f8b87,1,1
23,Station,8,58f1e53c,1,1
24,Main Branch,9,c2a9af61,1,1
25,Main Branch,10,bc090594,1,1
26,South,10,42f43515,1,1
27,West,10,03e50929,1,1
28,Main Branch,11,4c93e834,1,1
29,Main Branch,12,254bea56,1,1
30,East,12,3933592e,1,1
31,Main Branch,13,bc4db42b,1,1
32,Main Branch,14,2e51aaa1,1,1
33,West,14,feaae05f,1,1
34,Airport,14,3e25fa72,1,1
35,Beachfront,14,0da2aa7b,1,1
36,Main Branch,15,9796956b,1,1
37,Downtown,15,968b18fd,1,1
38,Harbor,15,89021df6,1,1
39,Market,15,82182517,1,1
40,Central,15,c7e34a13,1,1
41,Old Town,15,f4deadd7,1,1
42,Airport,15,a9360f95,1,1
43,Main Branch,16,6b420af0,1,1
44,Station,16,0da439aa,1,1
45,Main Branch,17,00bcafdb,1,1
46,Main Branch,18,1feb1750,1,1
47,Mall Branch,18,24eb774c,1,1
48,South,18,75ed698b,1,1
49,Downtown,18,b35386ea,1,1
50,Main Branch,19,f34c58c0,1,1
51,Main Branch,20,4742ed32,1,1
52,Midtown,20,00901af5,1,1
53,Harbor,20,cea9e2bc,1,1
54,Main Branch,21,2867e794,1,1
55,Market,21,5ae7419d,1,1
56,Main Branch,22,67fe4747,1,1
57,Station,22,d685a377,1,1
58,Main Branch,23,a9b90bd8,1,1
59,Beachfront,23,81cef0f4,1,1
60,West,23,124981f5,1,1
61,Main Branch,24,daadc78d,1,1
62,Old Town,24,07bd27ee,1,1
63,Central,24,082fb5cd,1,1
64,Harbor,24,2dfd265d,1,1
65,City Center,24,9b1ebf0b,1,1
66,University,24,a9105a5c,1,1
67,Mall Branch,24,a974b319,1,1
68,West,24,eac61522,1,1
69,Main Branch,25,8f6a03fa,1,1
70,Main Branch,26,22384163,1,1
71,University,26,e141cd49,1,1
72,Old Town,26,3b49aa98,1,1
73,Main Branch,27,5ca60619,1,1
74,Central,27,e9c60c00,1,1
75,Mall Branch,27,f45fc117,1,1
76,University,27,424e4895,1,1
77,Airport,27,8fb2425f,1,1
78,Main Branch,28,f5473fe0,1,1
79,Main Branch,29,d39c7e2a,1,1
80,Main Branch,30,b4b0fe04,1,1
81,Airport,30,90da9909,1,1
82,East,30,55de3650,1,1
83,Main Branch,31,9135fa4b,1,1
84,Main Branch,32,106eb5f5,1,1
85,Beachfront,32,e2f79edb,1,1
86,West,32,ea8ce6bb,1,1
87,Main Branch,33,c3f1de68,1,1
88,City Center,33,d2013080,1,1
89,Uptown,33,286c2f26,1,1
90,Central,33,fdf9c6f2,1,1
91,Airport,33,504bfa8c,1,1
92,Main Branch,34,6575534f,1,1
93,Main Branch,35,f4aec933,1,1
94,University,35,5b867ed4,1,1
95,Main Branch,36,4f863d05,1,1
96,Main Branch,37,a72b3696,1,1
97,Station,37,0b2c5b1f,1,1
98,Beachfront,37,da7c2c8f,1,1
99,Main Branch,38,1174a8e9,1,1
100,Main Branch,39,9763b10f,1,1
101,Old Town,39,27f2c3d6,1,1
102,East,39,65778b22,1,1
103,Downtown,39,cd9476be,1,1
104,Market,39,d884cb4c,1,1
105,Beachfront,39,0e594ea2,1,1
106,Main Branch,40,4ee42751,1,1
107,West,40,6ac7a508,1,1
108,Main Branch,41,fff71be8,1,1
109,Harbor,41,912e5a2e,1,1
110,Main Branch,42,e0011466,1,1
111,Downtown,42,67192aa2,1,1
112,Main Branch,43,1f1e2b5a,1,1
113,Old Town,43,b1df4101,1,1
114,Business District,43,1ba158ef,1,1
115,Main Branch,44,831413f5,1,1
116,Beachfront,44,0d047be0,1,1
117,Main Branch,45,ca04befd,1,1
118,West,45,c3f63ca2,1,1
119,Market,45,5f3e45d8,1,1
120,University,45,90e107db,1,1
121,East,45,f031be27,1,1
122,Station,45,16069435,1,1
123,Old Town,45,710a9948,1,1
124,Main Branch,46,48785202,1,1
125,West,46,fe31e7e8,1,1
126,Main Branch,47,f6f2a53e,1,1
127,Main Branch,48,6f3cc19d,1,1
128,Downtown,48,0c01442a,1,1
129,Midtown,48,54a6bd1e,1,1
130,Main Branch,49,8a4d3797,1,1
131,Main Branch,50,afc0749e,1,1
132,University,50,2d63263f,1,1
133,South,50,2773610f,1,1
134,Uptown,50,a8bb0ddb,1,1
135,North,50,59552478,1,1
136,Main Branch,51,878e7372,1,1
137,Beachfront,51,2ef7d857,1,1
138,Main Branch,52,0ca83f3f,1,1
139,Main Branch,53,beea0b4a,1,1
140,Mall Branch,53,cf9f368e,1,1
141,Downtown,53,7fde7c4f,1,1
142,Main Branch,54,a10997ab,1,1
143,Main Branch,55,55ccad49,1,1
144,Station,55,3523e40c,1,1
145,South,55,055d8f69,1,1
146,Beachfront,55,1016c845,1,1
147,Midtown,55,da389a37,1,1
148,West,55,6ce4f34e,1,1
149,Main Branch,56,27e22e94,1,1
150,Harbor,56,17a4171e,1,1
151,Main Branch,57,2d6bcec7,1,1
152,Main Branch,58,f7564f41,1,1
153,Uptown,58,19248533,1,1
154,West,58,793e1fcf,1,1
155,Main Branch,59,437c7daa,1,1
156,University,59,0e370049,1,1
157,Main Branch,60,f609b653,1,1
158,University,60,14286f77,1,1
159,Main Branch,61,d0f3fa85,1,1
160,Main Branch,62,e167cd69,1,1
161,University,62,d6bb03cc,1,1
162,Uptown,62,ba218f36,1,1
163,Old Town,62,305b7c50,1,1
164,Main Branch,63,40170114,1,1
165,Suburbs,63,9b12c9ff,1,1
166,South,63,0e06ba7c,1,1
167,Airport,63,4299d45c,1,1
168,Main Branch,64,93895111,1,1
169,Midtown,64,ce5fda42,1,1
170,Market,64,e4daa19e,1,1
171,Old Town,64,a5d15c49,1,1
172,Main Branch,65,e40fd6fa,1,1
173,Midtown,65,9886ee75,1,1
174,Main Branch,66,dd69fc51,1,1
175,Midtown,66,e9722e1b,1,1
176,West,66,a98914fd,1,1
177,South,66,e5cba73f,1,1
178,Mall Branch,66,3f08bbf5,1,1
179,Central,66,eec0183d,1,1
180,City Center,66,1bb593f6,1,1
181,Main Branch,67,eb27cad0,1,1
182,Business District,67,312f3be4,1,1
183,Main Branch,68,2186728a,1,1
184,South,68,11f92db4,1,1
185,Midtown,68,635bbf10,1,1
186,East,68,52c75ce7,1,1
187,Main Branch,69,767a15cd,1,1
188,Main Branch,70,0a0103cf,1,1
189,City Center,70,1f180dd8,1,1
190,Station,70,1afcc0d4,1,1
191,Central,70,1d212646,1,1
192,Suburbs,70,b5450c91,1,1
193,Main Branch,71,3e58ca67,1,1
194,Mall Branch,71,adfeac78,1,1
195,Main Branch,72,4b3932ca,1,1
196,Main Branch,73,7a85cdec,1,1
197,Uptown,73,6b80deb6,1,1
198,Old Town,73,ebddb769,1,1
199,Suburbs,73,e22f5b86,1,1
200,North,73,be183406,1,1
201,Business District,73,4ef46b5e,1,1
202,Beachfront,73,d6af5aa0,1,1
203,Central,73,7046c8f1,1,1
204,Main Branch,74,dd78e0c7,1,1
205,Market,74,e87f057b,1,1
206,Beachfront,74,9fcd47e5,1,1
207,Main Branch,75,3db8a792,1,1
208,Airport,75,ee982169,1,1
209,Main Branch,76,25bceefd,1,1
210,Main Branch,77,0f18b43b,1,1
211,Main Branch,78,0456d5c8,1,1
212,Main Branch,79,32d27214,1,1
213,Old Town,79,7fb53200,1,1
214,Business District,79,28b88b63,1,1
215,Main Branch,80,6bf7ebd6,1,1
216,Main Branch,81,2589aa97,1,1
217,Midtown,81,59ef2369,1,1
218,Central,81,ae03ac6c,1,1
219,Main Branch,82,d46ba3f0,1,1
220,Airport,82,ac25aeed,1,1
221,Downtown,82,66bf94c1,1,1
222,West,82,ce9e56bb,1,1
223,University,82,5667073b,1,1
224,Main Branch,83,e0f3e93b,1,1
225,South,83,c125f9fa,1,1
226,Main Branch,84,8a0828b6,1,1
227,Beachfront,84,5521c73f,1,1
228,Market,84,08b9a504,1,1
229,Main Branch,85,47c0ffc4,1,1
230,City Center,85,89a9a9db,1,1
231,Main Branch,86,4c386145,1,1
232,East,86,9ed5b40c,1,1
233,Uptown,86,910d67c7,1,1
234,Beachfront,86,a43461f2,1,1
235,Main Branch,87,5a086528,1,1
236,Beachfront,87,639338fa,1,1
237,Downtown,87,5f8bebaf,1,1
238,Old Town,87,7c6407b9,1,1
239,Mall Branch,87,8079987b,1,1
240,Uptown,87,68184c4c,1,1
241,North,87,40aed40d,1,1
242,Main Branch,88,7522e1e2,1,1
243,Main Branch,89,e962dc66,1,1
244,Station,89,bbd93860,1,1
245,West,89,ad2f30ed,1,1
246,Main Branch,90,1c3f0bda,1,1
247,Central,90,df9ac641,1,1
248,North,90,e2f94ca3,1,1
249,Main Branch,91,e0cd6e72,1,1
250,University,91,759056eb,1,1
251,Station,91,d8c87d28,1,1
252,Main Branch,92,df16584c,1,1
253,North,92,93b6990c,1,1
254,Harbor,92,864bd91d,1,1
255,Main Branch,93,47c4ae15,1,1
256,Business District,93,095961df,1,1
257,South,93,f3827fef,1,1
258,Main Branch,94,8d56a571,1,1
259,Main Branch,95,400e34c7,1,1
260,East,95,313675f8,1,1
261,Main Branch,96,41f96442,1,1
262,Main Branch,97,e59dd668,1,1
263,Harbor,97,ac8e09b9,1,1
264,University,97,b6be543d,1,1
265,Old Town,97,cc788a31,1,1
266,City Center,97,b13b5522,1,1
267,Station,97,22a09de4,1,1
268,Main Branch,98,b65f9829,1,1
269,East,98,ba51632b,1,1
270,Main Branch,99,28893017,1,1
271,West,99,6f5976f1,1,1
272,Downtown,99,ca0304de,1,1
273,Main Branch,100,831e23e0,1,1
274,Main Branch,101,f812285c,1,1
275,University,101,a08b59c3,1,1
276,Business District,101,f848e712,1,1
277,Main Branch,102,6b2abbaf,1,1
278,Harbor,102,5dc8a3dd,1,1
279,Main Branch,103,16f9c3ba,1,1
280,East,103,88fb4286,1,1
281,Main Branch,104,6b74a0d2,1,1
282,Main Branch,105,b2b81723,1,1
283,Main Branch,106,5a1ed696,1,1
284,Airport,106,d8bbe1a3,1,1
285,Mall Branch,106,2c96dc87,1,1
286,Beachfront,106,70892674,1,1
287,East,106,392a7bc9,1,1
288,Old Town,106,ab07cb8b,1,1
289,Main Branch,107,c49d72ad,1,1
290,South,107,7ea63b08,1,1
291,West,107,51b6ba37,1,1
292,Mall Branch,107,1fd9fdf8,1,1
293,Main Branch,108,e0344159,1,1
294,Main Branch,109,4b758d68,1,1
295,University,109,823ca4db,1,1
296,Old Town,109,0b040df9,1,1
297,Midtown,109,5867ee99,1,1
298,West,109,d3661fc8,1,1
299,Main Branch,110,1b7118bc,1,1
300,Business District,110,7ee75ee8,1,1
301,Harbor,110,39faf135,1,1
302,Central,110,07971891,1,1
303,Main Branch,111,24284fb7,1,1
304,Downtown,111,f202ffd2,1,1
305,West,111,be318d6c,1,1
306,Main Branch,112,c83028a5,1,1
307,West,112,3957062d,1,1
308,Main Branch,113,02926a09,1,1
309,Airport,113,a0795283,1,1
310,Main Branch,114,66e8af53,1,1
311,West,114,ac503377,1,1
312,Main Branch,115,2ce33c9d,1,1
313,West,115,80d46438,1,1
314,Main Branch,116,fc1dcc5c,1,1
315,Main Branch,117,ee990d32,1,1
316,East,117,dd4eff31,1,1
317,South,117,7404412b,1,1
318,Downtown,117,a55fec7d,1,1
319,Main Branch,118,b6549f95,1,1
320,Midtown,118,d23313f1,1,1
321,North,118,3d7e9c65,1,1
322,Airport,118,88b52dca,1,1
323,Main Branch,119,fbe47345,1,1
324,Main Branch,120,6a6f9968,1,1
325,Business District,120,1efda54d,1,1
326,Main Branch,121,31f13111,1,1
327,Main Branch,122,cfb5426d,1,1
328,East,122,c2fe4b93,1,1
329,Old Town,122,7a8ac822,1,1
330,North,122,77646abc,1,1
331,Main Branch,123,67c069fa,1,1
332,Main Branch,124,67bed69b,1,1
333,Downtown,124,3353dbc8,1,1
334,West,124,207a49c0,1,1
335,Central,124,8f1a52fe,1,1
336,Main Branch,125,7c00ce95,1,1
337,Main Branch,126,1e0b803d,1,1
338,Central,126,8882f2fc,1,1
339,Main Branch,127,31b8f8ae,1,1
340,Downtown,127,5ba5106b,1,1
