id,uid,name,slug,loyalty_type,stamps_in_strip,apple_background_color,apple_description,apple_foreground_color,apple_label_color,enroll_logo,apple_pass_icon,apple_pass_strips_folder,apple_back_fields,apple_header_field_label,apple_header_field_value,cardholder_label,max_transaction_amount,tier,active,header_text,max_transaction_amount_per_day,enable_new_transaction_email,apple_pass_icon_rectangle,timezone_id,country_id,require_business_branch_in_form,enable_raffles,card_qr_redirect_url,additional_form_checkbox,can_see_products_analytics,can_see_business_branches_analytics,can_do_exports
1,ac485d18,Daily Bread,daily-bread,STAMPS,6,#0F3460,Loyalty card for Daily Bread,#FFFFFF,#CCCCCC,assets/logos/daily-bread.png,assets/icons/daily-bread.png,assets/strips/daily-bread/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/daily-bread""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,STARTER,0,Welcome to Daily Bread,10000,0,assets/icons/daily-bread_rect.png,1,1,0,1,https://luyoa.com/enroll/daily-bread,[],0,0,0
2,5adbdc45,TechCorner,techcorner,BALANCE,,#2C3E50,Loyalty card for TechCorner,#FFFFFF,#CCCCCC,assets/logos/techcorner.png,assets/icons/techcorner.png,assets/strips/techcorner/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/techcorner""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,2000,STARTER,1,Welcome to TechCorner,4000,0,assets/icons/techcorner_rect.png,4,2,1,0,https://luyoa.com/enroll/techcorner,[],0,0,0
3,8ba293d8,Daily Market,daily-market,BALANCE,,#1A1A2E,Loyalty card for Daily Market,#FFFFFF,#CCCCCC,assets/logos/daily-market.png,assets/icons/daily-market.png,assets/strips/daily-market/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/daily-market""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,200,GROW,1,Welcome to Daily Market,1000,1,assets/icons/daily-market_rect.png,1,1,0,1,https://luyoa.com/enroll/daily-market,[],1,1,1
4,9b9aa2cd,LangCorner,langcorner,BALANCE,,#1A1A2E,Loyalty card for LangCorner,#FFFFFF,#CCCCCC,assets/logos/langcorner.png,assets/icons/langcorner.png,assets/strips/langcorner/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/langcorner""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,GROW,1,Welcome to LangCorner,25000,0,assets/icons/langcorner_rect.png,1,1,0,1,https://luyoa.com/enroll/langcorner,[],1,1,1
5,4df486bd,SmilePoint,smilepoint,STAMPS,12,#F5F5F5,Loyalty card for SmilePoint,#FFFFFF,#CCCCCC,assets/logos/smilepoint.png,assets/icons/smilepoint.png,assets/strips/smilepoint/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/smilepoint""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,1000,GROW,1,Welcome to SmilePoint,2000,1,assets/icons/smilepoint_rect.png,2,2,0,1,https://luyoa.com/enroll/smilepoint,[],1,1,1
6,60442e89,ActiveLife,activelife,BALANCE,,#F5F5F5,Loyalty card for ActiveLife,#FFFFFF,#CCCCCC,assets/logos/activelife.png,assets/icons/activelife.png,assets/strips/activelife/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/activelife""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,STARTER,1,Welcome to ActiveLife,10000,0,assets/icons/activelife_rect.png,1,1,0,0,https://luyoa.com/enroll/activelife,[],0,0,0
7,24fcd1fb,BrightEyes,brighteyes,BALANCE,,#0F3460,Loyalty card for BrightEyes,#FFFFFF,#CCCCCC,assets/logos/brighteyes.png,assets/icons/brighteyes.png,assets/strips/brighteyes/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/brighteyes""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,2000,STARTER,1,Welcome to BrightEyes,10000,1,assets/icons/brighteyes_rect.png,4,2,0,0,https://luyoa.com/enroll/brighteyes,[],0,0,0
8,1daa4e5f,CarePharm,carepharm,BALANCE,,#0F3460,Loyalty card for CarePharm,#FFFFFF,#CCCCCC,assets/logos/carepharm.png,assets/icons/carepharm.png,assets/strips/carepharm/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/carepharm""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,CORE,1,Welcome to CarePharm,10000,1,assets/icons/carepharm_rect.png,1,1,0,0,https://luyoa.com/enroll/carepharm,[],1,1,0
9,10b54ae2,Daily Bread,daily-bread-395,STAMPS,12,#0F3460,Loyalty card for Daily Bread,#FFFFFF,#CCCCCC,assets/logos/daily-bread-395.png,assets/icons/daily-bread-395.png,assets/strips/daily-bread-395/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/daily-bread-395""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,STARTER,1,Welcome to Daily Bread,25000,0,assets/icons/daily-bread-395_rect.png,4,2,0,1,https://luyoa.com/enroll/daily-bread-395,[],0,0,0
10,0910df98,Tokyo Table,tokyo-table,BALANCE,,#0F3460,Loyalty card for Tokyo Table,#FFFFFF,#CCCCCC,assets/logos/tokyo-table.png,assets/icons/tokyo-table.png,assets/strips/tokyo-table/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/tokyo-table""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,500,CORE,0,Welcome to Tokyo Table,2500,1,assets/icons/tokyo-table_rect.png,1,1,0,1,https://luyoa.com/enroll/tokyo-table,[],1,1,0
11,0dd034f5,The Bakehouse,the-bakehouse,BALANCE,,#F5F5F5,Loyalty card for The Bakehouse,#FFFFFF,#CCCCCC,assets/logos/the-bakehouse.png,assets/icons/the-bakehouse.png,assets/strips/the-bakehouse/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-bakehouse""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,1000,STARTER,1,Welcome to The Bakehouse,5000,0,assets/icons/the-bakehouse_rect.png,4,2,1,0,https://luyoa.com/enroll/the-bakehouse,[],0,0,0
12,ed2f3bfe,Mocha House,mocha-house,STAMPS,8,#FFFFFF,Loyalty card for Mocha House,#FFFFFF,#CCCCCC,assets/logos/mocha-house.png,assets/icons/mocha-house.png,assets/strips/mocha-house/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/mocha-house""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,STARTER,1,Welcome to Mocha House,15000,0,assets/icons/mocha-house_rect.png,3,2,0,0,https://luyoa.com/enroll/mocha-house,[],0,0,0
13,ae4ed8fe,Daily Flow,daily-flow,STATIC,,#2C3E50,Loyalty card for Daily Flow,#FFFFFF,#CCCCCC,assets/logos/daily-flow.png,assets/icons/daily-flow.png,assets/strips/daily-flow/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/daily-flow""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,500,STARTER,1,Welcome to Daily Flow,2500,0,assets/icons/daily-flow_rect.png,1,1,1,0,https://luyoa.com/enroll/daily-flow,[],0,0,0
14,83133088,FurEver,furever,BALANCE,,#FFFFFF,Loyalty card for FurEver,#FFFFFF,#CCCCCC,assets/logos/furever.png,assets/icons/furever.png,assets/strips/furever/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/furever""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,1000,CORE,1,Welcome to FurEver,2000,0,assets/icons/furever_rect.png,1,1,0,0,https://luyoa.com/enroll/furever,[],1,1,0
