customer_id,business_id,business_industry,business_tier,business_loyalty_type,business_country_id,gender,age,country_id,city_id,language,device,has_push_token,is_pass_updated,is_ghost,days_as_customer,days_inactive,recency_bucket,n_deposits,n_withdrawals,total_deposited,avg_deposit_amount,max_deposit_amount,avg_days_between_purchases,n_rewards_earned,n_rewards_redeemed,reward_redemption_rate,n_push_received,n_push_total,push_receive_rate,n_reviews,avg_review_rating,was_referred,n_raffles_entered,churn,_synthetic_profile
1,1,Bakery,STARTER,STAMPS,1,FEMALE,23,1,7,ES,APPLE,1,1,0,54,1,recent,69,17,452.33,6.56,11.53,0.4,31,18,0.581,0,1,0.0,0,,0,1,0,loyal_active
2,1,Bakery,STARTER,STAMPS,1,FEMALE,21,1,15,ES,APPLE,1,1,0,486,83,at_risk,3,0,27.68,9.23,11.33,69.5,0,0,0,0,0,0,1,5.0,0,1,0,at_risk
3,1,Bakery,STARTER,STAMPS,1,MALE,31,1,6,ES,APPLE,1,1,0,189,16,recent,48,5,333.21,6.94,11.98,3.1,10,5,0.5,1,1,1.0,0,,0,1,0,loyal_active
4,1,Bakery,STARTER,STAMPS,1,MALE,58,1,13,ES,APPLE,1,0,0,636,51,moderate,9,1,60.33,6.7,11.14,58.4,2,1,0.5,0,0,0,0,,0,1,0,regular_active
5,1,Bakery,STARTER,STAMPS,1,FEMALE,59,1,9,ES,APPLE,1,1,0,582,139,churned,10,1,93.55,9.36,11.35,43.1,3,2,0.667,0,0,0,1,3.0,1,0,1,soft_churned
6,1,Bakery,STARTER,STAMPS,1,MALE,60,1,1,ES,APPLE,1,0,0,212,103,churned,3,0,20.27,6.76,8.98,44.0,0,0,0,0,0,0,0,,0,1,1,soft_churned
7,1,Bakery,STARTER,STAMPS,1,MALE,28,1,11,ES,APPLE,1,0,0,553,133,churned,7,1,57.76,8.25,11.38,51.2,0,0,0,1,1,1.0,0,,0,1,1,soft_churned
8,1,Bakery,STARTER,STAMPS,1,FEMALE,38,1,15,ES,APPLE,1,1,0,505,392,churned,4,0,40.32,10.08,10.94,16.0,1,1,1.0,0,2,0.0,0,,0,1,1,hard_churned
9,1,Bakery,STARTER,STAMPS,1,FEMALE,38,1,10,ES,ANDROID,1,1,0,624,73,at_risk,10,2,73.25,7.33,10.71,53.2,2,1,0.5,0,0,0,0,,0,1,0,at_risk
10,1,Bakery,STARTER,STAMPS,1,FEMALE,40,1,5,ES,BOTH,1,0,0,730,469,churned,0,0,0,0,0,,0,0,0,1,1,1.0,0,,0,1,1,ghost
11,1,Bakery,STARTER,STAMPS,1,FEMALE,52,1,2,ES,APPLE,1,1,0,569,9,recent,68,14,510.99,7.51,11.89,7.6,21,10,0.476,0,0,0,0,,0,0,0,loyal_active
12,1,Bakery,STARTER,STAMPS,1,MALE,43,1,9,ES,ANDROID,1,0,0,651,117,churned,8,0,52.55,6.57,9.57,72.3,2,2,1.0,1,1,1.0,0,,1,1,1,soft_churned
13,1,Bakery,STARTER,STAMPS,1,FEMALE,34,1,14,ES,NONE,0,0,1,730,622,churned,2,0,16.2,8.1,8.43,12.0,0,0,0,0,0,0,0,,0,0,1,ghost
14,1,Bakery,STARTER,STAMPS,1,FEMALE,55,1,4,ES,APPLE,1,0,0,85,24,recent,14,1,86.39,6.17,10.72,3.9,6,3,0.5,1,1,1.0,0,,0,1,0,regular_active
15,1,Bakery,STARTER,STAMPS,1,FEMALE,24,1,1,ES,ANDROID,1,1,0,316,13,recent,30,8,205.29,6.84,11.99,9.7,12,4,0.333,1,1,1.0,0,,0,0,0,loyal_active
16,1,Bakery,STARTER,STAMPS,1,MALE,23,1,2,ES,BOTH,1,1,0,122,30,recent,24,1,181.18,7.55,11.86,3.4,4,2,0.5,2,2,1.0,0,,1,1,0,regular_active
17,1,Bakery,STARTER,STAMPS,1,FEMALE,32,1,10,ES,APPLE,1,1,0,606,27,recent,31,4,234.44,7.56,11.36,15.3,4,2,0.5,0,0,0,0,,0,0,0,loyal_active
18,1,Bakery,STARTER,STAMPS,1,MALE,29,1,14,ES,ANDROID,1,1,0,112,75,at_risk,12,2,93.29,7.77,11.84,2.4,5,2,0.4,2,2,1.0,0,,0,1,0,at_risk
19,1,Bakery,STARTER,STAMPS,1,MALE,59,1,4,ES,APPLE,1,0,0,109,29,recent,30,8,189.82,6.33,11.69,2.2,9,8,0.889,1,1,1.0,0,,0,1,0,loyal_active
20,1,Bakery,STARTER,STAMPS,1,FEMALE,39,1,10,ES,APPLE,1,1,0,98,2,recent,20,3,125.65,6.28,11.96,4.2,0,0,0,1,1,1.0,0,,0,1,0,loyal_active
21,1,Bakery,STARTER,STAMPS,1,MALE,45,1,12,ES,APPLE,1,1,0,273,59,moderate,12,2,72.39,6.03,11.08,17.5,3,1,0.333,0,0,0,0,,0,1,0,regular_active
22,1,Bakery,STARTER,STAMPS,1,MALE,39,1,4,ES,APPLE,1,1,0,305,25,recent,34,8,240.33,7.07,11.61,7.5,16,11,0.688,1,1,1.0,0,,0,1,0,loyal_active
23,1,Bakery,STARTER,STAMPS,1,FEMALE,22,1,3,ES,APPLE,1,0,0,376,57,moderate,21,4,151.77,7.23,11.94,14.8,3,3,1.0,0,0,0,0,,1,1,0,regular_active
24,1,Bakery,STARTER,STAMPS,1,FEMALE,43,1,15,ES,APPLE,1,1,0,523,12,recent,49,2,338.11,6.9,11.84,9.4,6,6,1.0,1,1,1.0,0,,1,1,0,loyal_active
25,1,Bakery,STARTER,STAMPS,1,MALE,58,1,2,ES,APPLE,1,0,0,614,19,recent,39,7,241.58,6.19,11.79,13.6,13,7,0.538,2,2,1.0,0,,0,1,0,loyal_active
26,1,Bakery,STARTER,STAMPS,1,FEMALE,23,1,3,ES,APPLE,1,1,0,685,4,recent,41,4,289.27,7.06,11.87,15.2,3,2,0.667,1,1,1.0,0,,0,1,0,loyal_active
27,1,Bakery,STARTER,STAMPS,1,FEMALE,53,1,11,ES,ANDROID,1,1,0,410,130,churned,10,0,56.43,5.64,11.03,25.6,0,0,0,1,1,1.0,0,,0,1,1,soft_churned
28,1,Bakery,STARTER,STAMPS,1,MALE,22,1,6,ES,ANDROID,1,1,1,730,204,churned,1,0,10.99,10.99,10.99,,0,0,0,1,2,0.5,0,,0,1,1,ghost
29,1,Bakery,STARTER,STAMPS,1,MALE,33,1,8,ES,ANDROID,1,0,0,285,87,at_risk,13,3,92.76,7.14,11.17,14.8,3,1,0.333,0,0,0,1,3.0,0,1,0,at_risk
30,1,Bakery,STARTER,STAMPS,1,MALE,23,1,3,ES,APPLE,1,1,0,342,30,recent,67,14,474.38,7.08,11.72,4.1,8,5,0.625,1,1,1.0,1,5.0,0,1,0,loyal_active
31,1,Bakery,STARTER,STAMPS,1,FEMALE,49,1,10,ES,APPLE,1,0,0,367,48,moderate,25,4,162.11,6.48,11.89,11.2,3,1,0.333,2,2,1.0,1,4.0,0,0,0,regular_active
32,1,Bakery,STARTER,STAMPS,1,FEMALE,44,1,14,ES,APPLE,1,0,0,516,73,at_risk,14,1,101.69,7.26,11.87,32.3,3,2,0.667,0,0,0,0,,1,1,0,at_risk
33,1,Bakery,STARTER,STAMPS,1,MALE,48,1,4,ES,ANDROID,1,1,0,106,2,recent,69,4,479.44,6.95,11.89,1.0,8,4,0.5,0,0,0,1,5.0,0,1,0,loyal_active
34,1,Bakery,STARTER,STAMPS,1,MALE,36,1,4,ES,APPLE,1,1,0,51,30,recent,24,5,152.24,6.34,10.88,0.4,6,1,0.167,1,1,1.0,0,,0,1,0,loyal_active
35,1,Bakery,STARTER,STAMPS,1,FEMALE,32,1,11,ES,APPLE,1,1,0,616,11,recent,34,9,226.97,6.68,11.6,16.5,12,9,0.75,0,0,0,0,,0,0,0,loyal_active
