id,label,type,limit,business_id
1,Bronze,STAMPS_BALANCE,300,1
2,Silver,STAMPS_BALANCE,1000,1
3,Gold,MONTHLY_VISITS,5,1
4,Bronze,STAMPS_BALANCE,300,2
5,Silver,STAMPS_BALANCE,1000,2
6,Gold,MONTHLY_VISITS,5,2
7,Bronze,STAMPS_BALANCE,300,3
8,Silver,STAMPS_BALANCE,1000,3
9,Gold,MONTHLY_VISITS,5,3
10,Bronze,STAMPS_BALANCE,300,4
11,Silver,STAMPS_BALANCE,1000,4
12,Gold,MONTHLY_VISITS,5,4
13,Bronze,STAMPS_BALANCE,300,5
14,Silver,STAMPS_BALANCE,1000,5
15,Gold,MONTHLY_VISITS,5,5
16,Bronze,STAMPS_BALANCE,300,6
17,Silver,STAMPS_BALANCE,1000,6
18,Gold,MONTHLY_VISITS,5,6
19,Bronze,STAMPS_BALANCE,300,7
20,Silver,STAMPS_BALANCE,1000,7
21,Gold,MONTHLY_VISITS,5,7
22,Bronze,STAMPS_BALANCE,300,8
23,Silver,STAMPS_BALANCE,1000,8
24,Gold,MONTHLY_VISITS,5,8
25,Bronze,STAMPS_BALANCE,300,9
26,Silver,STAMPS_BALANCE,1000,9
27,Gold,MONTHLY_VISITS,5,9
28,Bronze,STAMPS_BALANCE,300,10
29,Silver,STAMPS_BALANCE,1000,10
30,Gold,MONTHLY_VISITS,5,10
31,Bronze,STAMPS_BALANCE,300,11
32,Silver,STAMPS_BALANCE,1000,11
33,Gold,MONTHLY_VISITS,5,11
34,Bronze,STAMPS_BALANCE,300,12
35,Silver,STAMPS_BALANCE,1000,12
36,Gold,MONTHLY_VISITS,5,12
37,Bronze,STAMPS_BALANCE,300,13
38,Silver,STAMPS_BALANCE,1000,13
39,Gold,MONTHLY_VISITS,5,13
40,Bronze,STAMPS_BALANCE,300,14
41,Silver,STAMPS_BALANCE,1000,14
42,Gold,MONTHLY_VISITS,5,14
43,Bronze,STAMPS_BALANCE,300,15
44,Silver,STAMPS_BALANCE,1000,15
45,Gold,MONTHLY_VISITS,5,15
46,Bronze,STAMPS_BALANCE,300,16
47,Silver,STAMPS_BALANCE,1000,16
48,Gold,MONTHLY_VISITS,5,16
49,Bronze,STAMPS_BALANCE,300,17
50,Silver,STAMPS_BALANCE,1000,17
51,Gold,MONTHLY_VISITS,5,17
52,Bronze,STAMPS_BALANCE,300,18
53,Silver,STAMPS_BALANCE,1000,18
54,Gold,MONTHLY_VISITS,5,18
55,Bronze,STAMPS_BALANCE,300,19
56,Silver,STAMPS_BALANCE,1000,19
57,Gold,MONTHLY_VISITS,5,19
58,Bronze,STAMPS_BALANCE,300,20
59,Silver,STAMPS_BALANCE,1000,20
60,Gold,MONTHLY_VISITS,5,20
61,Bronze,STAMPS_BALANCE,300,21
62,Silver,STAMPS_BALANCE,1000,21
63,Gold,MONTHLY_VISITS,5,21
64,Bronze,STAMPS_BALANCE,300,22
65,Silver,STAMPS_BALANCE,1000,22
66,Gold,MONTHLY_VISITS,5,22
67,Bronze,STAMPS_BALANCE,300,23
68,Silver,STAMPS_BALANCE,1000,23
69,Gold,MONTHLY_VISITS,5,23
70,Bronze,STAMPS_BALANCE,300,24
71,Silver,STAMPS_BALANCE,1000,24
72,Gold,MONTHLY_VISITS,5,24
73,Bronze,STAMPS_BALANCE,300,25
74,Silver,STAMPS_BALANCE,1000,25
75,Gold,MONTHLY_VISITS,5,25
76,Bronze,STAMPS_BALANCE,300,26
77,Silver,STAMPS_BALANCE,1000,26
78,Gold,MONTHLY_VISITS,5,26
79,Bronze,STAMPS_BALANCE,300,27
80,Silver,STAMPS_BALANCE,1000,27
81,Gold,MONTHLY_VISITS,5,27
82,Bronze,STAMPS_BALANCE,300,28
83,Silver,STAMPS_BALANCE,1000,28
84,Gold,MONTHLY_VISITS,5,28
85,Bronze,STAMPS_BALANCE,300,29
86,Silver,STAMPS_BALANCE,1000,29
87,Gold,MONTHLY_VISITS,5,29
88,Bronze,STAMPS_BALANCE,300,30
89,Silver,STAMPS_BALANCE,1000,30
90,Gold,MONTHLY_VISITS,5,30
91,Bronze,STAMPS_BALANCE,300,31
92,Silver,STAMPS_BALANCE,1000,31
93,Gold,MONTHLY_VISITS,5,31
94,Bronze,STAMPS_BALANCE,300,32
95,Silver,STAMPS_BALANCE,1000,32
96,Gold,MONTHLY_VISITS,5,32
97,Bronze,STAMPS_BALANCE,300,33
98,Silver,STAMPS_BALANCE,1000,33
99,Gold,MONTHLY_VISITS,5,33
100,Bronze,STAMPS_BALANCE,300,34
101,Silver,STAMPS_BALANCE,1000,34
102,Gold,MONTHLY_VISITS,5,34
103,Bronze,STAMPS_BALANCE,300,35
104,Silver,STAMPS_BALANCE,1000,35
105,Gold,MONTHLY_VISITS,5,35
106,Bronze,STAMPS_BALANCE,300,36
107,Silver,STAMPS_BALANCE,1000,36
108,Gold,MONTHLY_VISITS,5,36
109,Bronze,STAMPS_BALANCE,300,37
110,Silver,STAMPS_BALANCE,1000,37
111,Gold,MONTHLY_VISITS,5,37
112,Bronze,STAMPS_BALANCE,300,38
113,Silver,STAMPS_BALANCE,1000,38
114,Gold,MONTHLY_VISITS,5,38
115,Bronze,STAMPS_BALANCE,300,39
116,Silver,STAMPS_BALANCE,1000,39
117,Gold,MONTHLY_VISITS,5,39
118,Bronze,STAMPS_BALANCE,300,40
119,Silver,STAMPS_BALANCE,1000,40
120,Gold,MONTHLY_VISITS,5,40
121,Bronze,STAMPS_BALANCE,300,41
122,Silver,STAMPS_BALANCE,1000,41
123,Gold,MONTHLY_VISITS,5,41
124,Bronze,STAMPS_BALANCE,300,42
125,Silver,STAMPS_BALANCE,1000,42
