id,quantity,price_each,external_ticket_id,external_product_id
1,5,68.03,1,2
2,3,74.95,1,1
3,5,4.2,2,3
4,3,75.91,2,3
5,2,45.92,2,1
6,4,4.96,3,1
7,2,48.93,3,1
8,2,28.58,4,1
9,3,6.65,4,1
10,1,31.14,5,3
11,4,47.71,5,2
12,3,27.16,5,1
13,2,57.16,6,3
14,5,63.39,6,1
15,5,65.53,6,2
16,5,32.54,7,3
17,5,10.12,8,2
18,2,27.83,8,1
19,3,36.84,9,2
20,1,58.19,10,1
21,4,36.18,10,2
22,2,71.0,10,2
23,5,52.78,11,3
24,2,14.69,11,1
25,1,25.0,11,2
26,3,76.23,11,1
27,3,48.33,12,3
28,5,71.4,13,1
29,1,9.9,13,1
30,3,25.2,14,1
31,1,32.65,14,3
32,4,13.98,14,2
33,2,9.56,15,1
34,2,51.78,15,1
35,4,67.81,15,2
36,4,38.73,15,3
37,3,71.07,16,2
38,2,36.77,16,2
39,2,60.67,17,3
40,5,19.75,18,1
41,4,65.84,18,2
42,5,55.59,18,2
43,5,70.77,18,2
44,5,46.56,19,3
45,2,76.03,20,1
46,2,65.06,20,1
47,1,35.02,20,3
48,4,17.75,20,3
49,1,32.27,21,2
50,5,47.83,22,2
51,1,45.89,23,1
52,3,31.88,24,2
53,5,49.5,24,1
54,2,23.48,24,1
55,5,49.48,24,3
56,4,73.83,25,2
57,1,77.85,26,1
58,2,25.44,26,3
59,4,62.37,26,2
60,3,58.85,26,3
61,4,61.24,27,2
62,1,42.19,27,1
63,1,26.27,27,3
64,4,12.58,27,3
65,1,21.46,28,2
66,1,73.61,28,3
67,1,55.13,29,1
68,3,40.13,29,2
69,2,76.92,29,2
70,5,45.0,29,2
71,3,4.14,30,1
72,2,52.5,31,3
73,2,22.99,31,2
74,2,48.89,32,1
75,2,21.69,32,2
76,3,37.8,33,1
77,4,25.57,33,3
78,5,32.98,33,1
79,1,41.9,33,3
80,3,55.38,34,2
81,1,28.23,34,2
82,3,69.2,34,2
83,1,64.82,35,3
84,4,53.52,35,3
85,3,72.74,36,2
86,4,59.47,36,3
87,5,65.65,36,2
88,3,41.57,37,1
89,5,16.13,37,1
90,4,11.98,37,2
91,5,61.51,37,1
92,2,60.05,38,2
93,4,63.47,38,2
94,3,22.32,38,2
95,4,71.38,39,3
96,4,6.22,40,1
97,2,79.4,40,2
98,4,79.0,40,2
99,4,27.95,41,1
100,2,46.95,42,1
101,4,63.25,42,1
102,4,77.3,43,2
103,1,4.94,43,1
104,3,76.11,43,2
105,5,16.86,43,3
106,3,12.06,44,2
107,5,47.92,44,1
108,1,66.26,44,2
109,4,71.26,45,1
110,3,79.7,45,2
111,3,60.51,45,1
112,2,18.47,46,1
113,5,41.36,46,1
114,5,50.6,47,3
115,1,53.63,47,3
116,1,5.76,47,1
117,2,18.03,48,3
118,1,25.49,48,3
119,1,53.67,48,2
120,5,49.24,48,1
121,3,10.89,49,1
122,3,56.87,50,2
123,2,5.07,50,2
124,1,54.39,51,1
125,5,7.85,52,3
126,3,22.6,53,1
127,1,65.43,53,1
128,3,30.1,53,3
129,3,35.23,53,1
130,2,27.64,54,2
131,5,22.93,54,3
132,4,77.06,55,2
133,4,55.81,55,2
134,4,52.61,55,1
135,1,12.34,55,3
136,5,54.91,56,1
137,5,31.62,56,2
138,5,4.25,56,3
139,2,39.68,56,2
140,3,53.09,57,1
141,3,42.49,58,3
142,5,9.43,58,3
143,1,52.19,59,6
144,4,27.01,60,9
145,4,65.73,61,5
146,4,36.65,61,11
147,1,68.81,61,11
148,3,11.26,61,11
149,5,44.83,62,5
150,3,30.34,63,4
151,2,67.86,63,9
152,5,61.86,63,11
153,3,57.84,63,5
154,3,44.72,64,9
155,1,5.57,64,6
156,4,12.96,64,10
157,2,37.65,65,7
158,3,10.41,65,10
159,1,74.28,65,5
160,4,37.68,65,6
161,5,39.67,66,6
162,5,15.54,66,6
163,1,32.22,66,9
164,5,70.75,66,10
165,3,37.32,67,6
166,2,34.19,67,8
167,5,69.14,67,7
168,2,41.3,68,9
169,1,61.34,68,11
170,1,42.77,69,4
171,4,13.34,69,4
172,2,22.82,69,6
173,3,55.3,69,6
174,3,65.49,70,5
175,1,74.27,71,10
176,4,76.62,71,9
177,5,6.2,71,8
178,5,44.64,72,7
179,2,24.95,72,6
180,1,16.58,72,6
181,5,22.61,73,6
182,5,67.99,73,4
183,3,38.37,73,6
184,4,63.61,74,9
185,1,63.15,74,9
186,5,19.16,74,6
187,1,29.25,75,7
188,3,27.82,75,8
189,2,76.12,75,11
190,5,66.25,75,4
191,1,55.24,76,9
192,4,73.44,76,5
193,5,64.62,77,11
194,4,5.42,77,7
195,3,42.08,77,5
196,4,67.18,78,13
197,5,66.64,78,15
198,1,8.83,79,12
199,2,63.95,79,16
200,1,46.85,79,13
201,4,26.68,80,15
202,1,43.72,80,16
203,1,60.96,80,16
204,1,56.67,80,12
205,5,8.75,81,15
206,4,32.82,81,12
207,4,14.19,81,13
208,2,25.25,82,14
209,1,45.17,82,16
210,2,11.61,82,12
211,2,34.19,83,16
212,2,14.55,83,13
213,5,67.11,83,13
214,5,7.71,84,12
215,3,9.66,84,16
216,4,76.22,84,14
217,2,54.36,84,13
218,4,37.15,85,16
219,3,56.09,85,13
220,5,46.22,85,14
221,4,23.58,86,14
222,2,55.01,86,14
223,4,45.03,87,13
224,5,8.39,87,14
225,2,71.52,87,13
226,5,51.27,88,16
227,2,30.53,89,13
228,5,59.19,89,14
229,2,38.25,89,16
230,1,32.95,89,16
231,5,12.95,90,13
232,2,46.18,90,16
233,2,61.39,91,13
234,5,72.8,92,14
235,4,38.63,92,15
236,3,47.13,93,16
237,2,31.38,93,15
238,3,47.84,93,12
239,3,39.98,94,15
240,5,2.51,94,13
241,4,14.92,94,12
242,3,48.96,95,12
243,2,34.34,95,14
244,4,3.75,96,12
245,2,46.73,96,13
246,1,14.97,97,13
247,5,76.74,97,16
248,4,49.31,98,15
249,4,15.3,98,15
250,4,48.53,99,12
251,2,31.5,99,13
252,1,3.29,99,16
253,2,39.12,100,16
254,4,42.72,101,22
255,4,29.34,102,18
256,4,12.44,102,24
257,2,72.99,102,18
258,3,48.67,102,25
259,5,42.76,103,25
260,4,30.26,104,19
261,4,52.82,104,21
262,3,68.69,104,23
263,4,45.06,105,25
264,4,15.94,105,25
