id,reference,created_at,total,transaction_id,integration_id,business_id,business_branch_id
1,TKT-7F9D1AA0,2025-07-13 21:46:04.000,565.0,,1,408,1092
2,TKT-CFD01045,2026-02-02 10:09:33.000,340.57,870366,1,408,1091
3,TKT-D4014076,2025-11-27 04:29:37.000,117.7,867049,1,408,1091
4,TKT-D8022E8C,2025-08-06 10:56:17.000,77.11,867627,1,408,1090
5,TKT-006BE482,2025-08-27 21:07:42.000,303.46,868836,1,408,1092
6,TKT-8A649169,2025-07-24 15:01:25.000,758.92,869867,1,408,1091
7,TKT-AC4A77DC,2026-03-31 14:52:57.000,162.7,,1,408,1092
8,TKT-243B8C9E,2026-02-02 08:37:44.000,106.26,,1,408,1091
9,TKT-829C48EE,2026-03-19 11:00:04.000,110.52,,1,408,1092
10,TKT-EB50F357,2026-04-18 11:40:06.000,344.91,868485,1,408,1092
11,TKT-6FFD03F0,2026-01-16 05:17:17.000,546.97,868584,1,408,1090
12,TKT-3191EE0C,2025-10-01 05:29:53.000,144.99,869932,1,408,1090
13,TKT-59C0C91E,2025-12-30 10:15:46.000,366.9,868723,1,408,1092
14,TKT-7D040917,2025-11-23 14:10:52.000,164.17,,1,408,1090
15,TKT-F769BC56,2026-02-09 11:02:05.000,548.84,,1,408,1092
16,TKT-B335F4E4,2025-11-26 14:05:00.000,286.75,868125,1,408,1090
17,TKT-AD7E85CE,2025-08-30 16:49:25.000,121.34,,1,408,1092
18,TKT-E80BB330,2026-01-25 16:29:34.000,993.91,,1,408,1091
19,TKT-3E1A5516,2025-08-10 23:47:41.000,232.8,869822,1,408,1092
20,TKT-F828BAE1,2026-03-25 14:10:03.000,388.2,,1,408,1092
21,TKT-6FE1EC9D,2026-02-20 11:00:32.000,32.27,870555,1,408,1091
22,TKT-6FC21DA6,2025-12-03 22:02:09.000,239.15,,1,408,1090
23,TKT-BF711585,2026-03-25 08:45:09.000,45.89,870600,1,408,1092
24,TKT-5FB4B547,2025-08-17 18:48:47.000,637.5,868668,1,408,1091
25,TKT-F740EB80,2025-10-13 16:05:30.000,295.32,,1,408,1091
26,TKT-85FD5EC1,2026-02-04 12:57:21.000,554.76,867816,1,408,1091
27,TKT-DCE6911E,2026-03-06 09:46:45.000,363.74,867165,1,408,1090
28,TKT-974AE551,2026-03-11 23:53:38.000,95.07,,1,408,1091
29,TKT-F9FBEB49,2025-09-03 18:32:43.000,554.36,,1,408,1091
30,TKT-CDB4DC85,2025-09-26 03:16:14.000,12.42,,1,408,1092
31,TKT-D6C7C46E,2025-09-16 21:00:49.000,150.98,870588,1,408,1092
32,TKT-D2A91460,2026-05-06 03:43:31.000,141.16,869952,1,408,1092
33,TKT-72926251,2026-02-15 05:03:54.000,422.48,870485,1,408,1091
34,TKT-B8ABBF7C,2025-11-21 09:17:58.000,401.97,869715,1,408,1091
35,TKT-ABC9BDEB,2026-03-13 07:35:53.000,278.9,,1,408,1090
36,TKT-C8A5DD6A,2025-10-24 04:54:24.000,784.35,867957,1,408,1092
37,TKT-DE536FED,2025-11-29 10:25:04.000,560.83,868421,1,408,1092
38,TKT-FAFE7011,2026-04-12 00:49:55.000,440.94,867529,1,408,1091
39,TKT-A5926D92,2026-04-22 17:19:00.000,285.52,,1,408,1092
40,TKT-0C03C242,2026-01-14 07:46:20.000,499.68,,1,408,1092
41,TKT-2AACAE86,2026-03-15 17:13:19.000,111.8,867284,1,408,1090
42,TKT-E60599CF,2025-12-24 05:00:27.000,346.9,,1,408,1091
43,TKT-4BA56CB2,2025-10-30 18:40:49.000,626.77,,1,408,1092
44,TKT-26455381,2026-02-23 04:15:51.000,342.04,868914,1,408,1092
45,TKT-0D8EE63B,2025-12-03 17:42:51.000,705.67,870372,1,408,1091
46,TKT-909C4A3F,2026-05-03 02:05:33.000,243.74,869711,1,408,1090
47,TKT-5E2D841C,2026-01-16 06:24:18.000,312.39,868604,1,408,1090
48,TKT-3EEF5A6A,2025-11-25 15:21:27.000,361.42,867476,1,408,1092
49,TKT-A7066C5C,2025-10-05 04:40:26.000,32.67,869541,1,408,1090
50,TKT-8AA78542,2025-09-17 10:29:11.000,180.75,869865,1,408,1091
51,TKT-FB7DE57B,2026-01-29 15:26:41.000,54.39,869787,1,408,1091
52,TKT-D3671BEA,2026-03-25 01:57:01.000,39.25,,1,408,1091
53,TKT-7CD2B717,2025-10-27 12:33:57.000,329.22,,1,408,1090
