id,data,integration_id,business_id
1,"{""webhook_url"": ""https://the-bakehouse-171.com/luyoa/webhook"", ""active"": true}",2,18
2,"{""webhook_url"": ""https://street-eats.com/luyoa/webhook"", ""active"": true}",3,23
3,"{""webhook_url"": ""https://mode-and-co.com/luyoa/webhook"", ""active"": true}",2,24
4,"{""webhook_url"": ""https://the-coffee-spot.com/luyoa/webhook"", ""active"": true}",4,27
5,"{""webhook_url"": ""https://the-dental-studio.com/luyoa/webhook"", ""active"": true}",3,30
6,"{""webhook_url"": ""https://rollmaster.com/luyoa/webhook"", ""active"": true}",3,33
7,"{""webhook_url"": ""https://easytalk.com/luyoa/webhook"", ""active"": true}",2,39
8,"{""webhook_url"": ""https://sightline.com/luyoa/webhook"", ""active"": true}",1,42
9,"{""webhook_url"": ""https://daily-market-482.com/luyoa/webhook"", ""active"": true}",3,45
10,"{""webhook_url"": ""https://boost-gym.com/luyoa/webhook"", ""active"": true}",5,50
11,"{""webhook_url"": ""https://bite-rush.com/luyoa/webhook"", ""active"": true}",2,51
12,"{""webhook_url"": ""https://rollmaster-720.com/luyoa/webhook"", ""active"": true}",2,54
13,"{""webhook_url"": ""https://smileplus-170.com/luyoa/webhook"", ""active"": true}",1,62
14,"{""webhook_url"": ""https://langcorner-506.com/luyoa/webhook"", ""active"": true}",1,63
15,"{""webhook_url"": ""https://quick-bite.com/luyoa/webhook"", ""active"": true}",2,64
16,"{""webhook_url"": ""https://zen-flow.com/luyoa/webhook"", ""active"": true}",2,66
17,"{""webhook_url"": ""https://the-mat-room.com/luyoa/webhook"", ""active"": true}",3,68
18,"{""webhook_url"": ""https://sunset-grill.com/luyoa/webhook"", ""active"": true}",2,81
19,"{""webhook_url"": ""https://whitesmile.com/luyoa/webhook"", ""active"": true}",3,84
20,"{""webhook_url"": ""https://petplus.com/luyoa/webhook"", ""active"": true}",3,87
21,"{""webhook_url"": ""https://chapter-one.com/luyoa/webhook"", ""active"": true}",3,89
22,"{""webhook_url"": ""https://langcorner-227.com/luyoa/webhook"", ""active"": true}",4,91
23,"{""webhook_url"": ""https://greencup.com/luyoa/webhook"", ""active"": true}",3,93
24,"{""webhook_url"": ""https://shinepoint.com/luyoa/webhook"", ""active"": true}",1,95
25,"{""webhook_url"": ""https://vitajuice.com/luyoa/webhook"", ""active"": true}",3,99
26,"{""webhook_url"": ""https://crusty-corner-47.com/luyoa/webhook"", ""active"": true}",4,101
27,"{""webhook_url"": ""https://happypet-150.com/luyoa/webhook"", ""active"": true}",2,106
28,"{""webhook_url"": ""https://stylecorner.com/luyoa/webhook"", ""active"": true}",4,109
29,"{""webhook_url"": ""https://serenity-spa.com/luyoa/webhook"", ""active"": true}",1,110
30,"{""webhook_url"": ""https://shelf-life.com/luyoa/webhook"", ""active"": true}",1,112
31,"{""webhook_url"": ""https://the-reading-room.com/luyoa/webhook"", ""active"": true}",1,115
32,"{""webhook_url"": ""https://the-dental-studio-547.com/luyoa/webhook"", ""active"": true}",5,116
33,"{""webhook_url"": ""https://thewinery.com/luyoa/webhook"", ""active"": true}",3,117
34,"{""webhook_url"": ""https://oralfirst.com/luyoa/webhook"", ""active"": true}",5,120
35,"{""webhook_url"": ""https://casa-blanca-857.com/luyoa/webhook"", ""active"": true}",1,122
36,"{""webhook_url"": ""https://cloth-and-co-528.com/luyoa/webhook"", ""active"": true}",5,126
37,"{""webhook_url"": ""https://yogaspace.com/luyoa/webhook"", ""active"": true}",3,128
38,"{""webhook_url"": ""https://green-table.com/luyoa/webhook"", ""active"": true}",3,130
39,"{""webhook_url"": ""https://bottleshop-697.com/luyoa/webhook"", ""active"": true}",1,136
40,"{""webhook_url"": ""https://stylecorner-697.com/luyoa/webhook"", ""active"": true}",3,146
41,"{""webhook_url"": ""https://umami-place.com/luyoa/webhook"", ""active"": true}",1,147
42,"{""webhook_url"": ""https://easytalk-327.com/luyoa/webhook"", ""active"": true}",3,148
43,"{""webhook_url"": ""https://daily-flow-234.com/luyoa/webhook"", ""active"": true}",3,150
44,"{""webhook_url"": ""https://smileplus-452.com/luyoa/webhook"", ""active"": true}",5,151
45,"{""webhook_url"": ""https://the-tech-store-532.com/luyoa/webhook"", ""active"": true}",3,152
46,"{""webhook_url"": ""https://activelife-625.com/luyoa/webhook"", ""active"": true}",5,153
47,"{""webhook_url"": ""https://healthstop-489.com/luyoa/webhook"", ""active"": true}",4,157
48,"{""webhook_url"": ""https://winehouse.com/luyoa/webhook"", ""active"": true}",2,158
49,"{""webhook_url"": ""https://flour-and-co.com/luyoa/webhook"", ""active"": true}",4,160
50,"{""webhook_url"": ""https://juice-lab-489.com/luyoa/webhook"", ""active"": true}",1,161
51,"{""webhook_url"": ""https://greencup-655.com/luyoa/webhook"", ""active"": true}",1,163
52,"{""webhook_url"": ""https://langcorner-137.com/luyoa/webhook"", ""active"": true}",3,169
53,"{""webhook_url"": ""https://the-coffee-spot-389.com/luyoa/webhook"", ""active"": true}",2,170
54,"{""webhook_url"": ""https://petplus-419.com/luyoa/webhook"", ""active"": true}",4,174
55,"{""webhook_url"": ""https://thejuicery.com/luyoa/webhook"", ""active"": true}",2,179
56,"{""webhook_url"": ""https://pharmapoint-303.com/luyoa/webhook"", ""active"": true}",1,180
57,"{""webhook_url"": ""https://wordsmith.com/luyoa/webhook"", ""active"": true}",5,181
58,"{""webhook_url"": ""https://techcorner-81.com/luyoa/webhook"", ""active"": true}",3,185
59,"{""webhook_url"": ""https://yogaspace-917.com/luyoa/webhook"", ""active"": true}",1,187
60,"{""webhook_url"": ""https://fresh-crumb.com/luyoa/webhook"", ""active"": true}",4,190
61,"{""webhook_url"": ""https://sushipoint.com/luyoa/webhook"", ""active"": true}",3,191
62,"{""webhook_url"": ""https://carglow-329.com/luyoa/webhook"", ""active"": true}",2,197
63,"{""webhook_url"": ""https://carepharm-491.com/luyoa/webhook"", ""active"": true}",3,200
64,"{""webhook_url"": ""https://crusty-corner-46.com/luyoa/webhook"", ""active"": true}",4,204
65,"{""webhook_url"": ""https://techbox-722.com/luyoa/webhook"", ""active"": true}",5,206
66,"{""webhook_url"": ""https://easytalk-605.com/luyoa/webhook"", ""active"": true}",3,208
67,"{""webhook_url"": ""https://langcorner-116.com/luyoa/webhook"", ""active"": true}",2,212
68,"{""webhook_url"": ""https://langplus.com/luyoa/webhook"", ""active"": true}",3,213
69,"{""webhook_url"": ""https://petzone-297.com/luyoa/webhook"", ""active"": true}",3,215
70,"{""webhook_url"": ""https://green-table-256.com/luyoa/webhook"", ""active"": true}",5,216
71,"{""webhook_url"": ""https://go-burger-641.com/luyoa/webhook"", ""active"": true}",3,221
72,"{""webhook_url"": ""https://inner-peace-studio-10.com/luyoa/webhook"", ""active"": true}",4,222
73,"{""webhook_url"": ""https://core-fit-70.com/luyoa/webhook"", ""active"": true}",5,228
74,"{""webhook_url"": ""https://nectarbar.com/luyoa/webhook"", ""active"": true}",2,229
75,"{""webhook_url"": ""https://oceansushi.com/luyoa/webhook"", ""active"": true}",5,230
76,"{""webhook_url"": ""https://gadgethub.com/luyoa/webhook"", ""active"": true}",4,231
77,"{""webhook_url"": ""https://happypet-790.com/luyoa/webhook"", ""active"": true}",3,232
78,"{""webhook_url"": ""https://purepress-484.com/luyoa/webhook"", ""active"": true}",3,234
79,"{""webhook_url"": ""https://grapepoint.com/luyoa/webhook"", ""active"": true}",3,240
80,"{""webhook_url"": ""https://petmarket-515.com/luyoa/webhook"", ""active"": true}",3,249
81,"{""webhook_url"": ""https://citygrocer.com/luyoa/webhook"", ""active"": true}",5,250
82,"{""webhook_url"": ""https://winehouse-181.com/luyoa/webhook"", ""active"": true}",2,251
