id,created_at,send_at,body,business_id,customer_tier_id,customer_segment_id,reward_id,expires_in_hours,type
1,2026-05-07 22:43:51.000,2026-05-08 19:43:51.000,Happy birthday! Enjoy your special gift from us.,1,3,,2,48,CUSTOM
2,2026-05-07 13:43:51.000,2026-05-08 19:43:51.000,We miss you! Come back and earn double points this week.,1,,,,24,AUTOMATED
3,2026-05-08 03:43:51.000,2026-05-08 19:43:51.000,Bring a friend and both of you earn bonus points.,1,,,,24,AUTOMATED
4,2026-05-08 00:43:51.000,2026-05-08 19:43:51.000,Your loyalty card has a new benefit. Tap to discover.,1,1,,,48,CUSTOM
5,2026-05-08 12:43:51.000,2026-05-08 19:43:51.000,Flash sale today only. Use your points for extra savings.,2,,,7,24,AUTOMATED
6,2026-05-08 16:43:51.000,2026-05-08 19:43:51.000,We miss you! Come back and earn double points this week.,2,,,,48,CUSTOM
7,2026-05-08 16:43:51.000,2026-05-08 19:43:51.000,Flash sale today only. Use your points for extra savings.,2,5,,,24,CUSTOM
8,2026-05-08 12:43:51.000,2026-05-08 19:43:51.000,Bring a friend and both of you earn bonus points.,3,,,,168,AUTOMATED
9,2026-05-08 09:43:51.000,2026-05-08 19:43:51.000,Bring a friend and both of you earn bonus points.,3,9,,,24,AUTOMATED
10,2026-05-08 10:43:51.000,2026-05-08 19:43:51.000,Bring a friend and both of you earn bonus points.,3,,,,72,CUSTOM
11,2026-05-07 03:43:51.000,2026-05-08 19:43:51.000,Bring a friend and both of you earn bonus points.,3,7,,12,168,AUTOMATED
12,2026-05-07 10:43:51.000,2026-05-08 19:43:51.000,Bring a friend and both of you earn bonus points.,3,9,,12,24,CUSTOM
13,2026-05-08 17:43:51.000,2026-05-08 19:43:51.000,We miss you! Come back and earn double points this week.,3,8,,12,72,CUSTOM
14,2026-05-06 23:43:51.000,2026-05-08 19:43:51.000,We miss you! Come back and earn double points this week.,3,,,,24,CUSTOM
15,2026-05-08 04:43:51.000,2026-05-08 19:43:51.000,You are 50 points away from your next reward!,3,,,,168,CUSTOM
16,2026-05-08 10:43:51.000,2026-05-08 19:43:51.000,You have a reward waiting for you. Claim it now!,3,8,,,168,CUSTOM
17,2026-05-07 04:43:51.000,2026-05-08 19:43:51.000,Flash sale today only. Use your points for extra savings.,3,,,9,168,CUSTOM
18,2026-05-07 14:43:51.000,2026-05-08 19:43:51.000,We miss you! Come back and earn double points this week.,3,8,,,72,AUTOMATED
19,2026-05-07 22:43:51.000,2026-05-08 19:43:51.000,We miss you! Come back and earn double points this week.,3,9,,,72,CUSTOM
20,2026-05-07 04:43:51.000,2026-05-08 19:43:51.000,Happy birthday! Enjoy your special gift from us.,3,,,,48,CUSTOM
