id,status,customer_id,push_notification_id
1,RECEIVED,24,1
2,RECEIVED,19,1
3,PENDING,46,1
4,SENDING,8,1
5,RECEIVED,34,1
6,RECEIVED,7,2
7,RECEIVED,18,2
8,RECEIVED,39,2
9,RECEIVED,3,2
10,RECEIVED,30,2
11,RECEIVED,40,2
12,RECEIVED,26,2
13,RECEIVED,14,2
14,RECEIVED,25,2
15,RECEIVED,28,2
16,RECEIVED,44,2
17,RECEIVED,22,2
18,RECEIVED,42,3
19,RECEIVED,40,3
20,PENDING,28,3
21,RECEIVED,31,3
22,RECEIVED,45,3
23,RECEIVED,36,3
24,PENDING,1,3
25,RECEIVED,16,3
26,RECEIVED,18,3
27,RECEIVED,27,3
28,RECEIVED,25,3
29,RECEIVED,15,4
30,RECEIVED,45,4
31,SENDING,37,4
32,RECEIVED,20,4
33,RECEIVED,44,4
34,PENDING,8,4
35,RECEIVED,10,4
36,RECEIVED,31,4
37,RECEIVED,16,4
38,RECEIVED,12,4
39,RECEIVED,62,5
40,SENDING,75,5
41,PENDING,73,5
42,RECEIVED,89,5
43,RECEIVED,85,5
44,RECEIVED,84,5
45,RECEIVED,70,5
46,RECEIVED,53,5
47,RECEIVED,70,6
48,RECEIVED,101,6
49,RECEIVED,103,6
50,RECEIVED,60,6
51,RECEIVED,99,6
52,RECEIVED,100,6
53,RECEIVED,97,6
54,PENDING,90,6
55,RECEIVED,83,7
56,RECEIVED,67,7
57,SENDING,100,7
58,RECEIVED,49,7
59,PENDING,98,7
60,SENDING,90,7
61,PENDING,76,7
62,RECEIVED,60,7
63,RECEIVED,63,7
64,RECEIVED,91,7
65,RECEIVED,59,7
66,SENDING,70,7
67,PENDING,75,7
68,RECEIVED,97,7
69,RECEIVED,74,7
70,RECEIVED,95,7
71,RECEIVED,139,8
72,RECEIVED,135,8
73,RECEIVED,199,8
74,PENDING,211,8
75,RECEIVED,208,8
76,PENDING,130,8
77,RECEIVED,229,8
78,RECEIVED,228,8
79,PENDING,235,8
80,RECEIVED,187,8
81,RECEIVED,207,8
82,RECEIVED,225,8
83,SENDING,148,8
84,RECEIVED,134,8
85,PENDING,152,8
86,PENDING,169,8
87,PENDING,224,8
88,RECEIVED,182,8
89,RECEIVED,237,8
90,PENDING,185,8
91,RECEIVED,143,8
92,PENDING,150,8
93,PENDING,114,8
94,SENDING,111,8
95,SENDING,233,8
96,RECEIVED,156,8
97,PENDING,203,8
98,SENDING,112,8
99,RECEIVED,163,8
100,RECEIVED,144,8
101,PENDING,113,8
102,RECEIVED,222,9
103,RECEIVED,127,9
104,RECEIVED,184,9
105,RECEIVED,201,9
106,RECEIVED,210,9
107,PENDING,107,9
108,RECEIVED,148,9
109,RECEIVED,173,9
110,PENDING,194,9
111,RECEIVED,112,9
112,RECEIVED,106,9
113,RECEIVED,170,9
114,RECEIVED,242,9
115,RECEIVED,189,9
116,RECEIVED,211,9
117,RECEIVED,142,9
118,PENDING,121,10
119,SENDING,230,10
120,RECEIVED,236,10
121,RECEIVED,194,10
122,RECEIVED,175,10
123,RECEIVED,238,10
124,RECEIVED,196,10
125,RECEIVED,244,10
126,RECEIVED,143,10
127,SENDING,235,10
128,RECEIVED,234,10
129,SENDING,150,10
130,RECEIVED,230,11
131,RECEIVED,232,11
132,RECEIVED,132,11
133,RECEIVED,150,11
134,SENDING,163,11
135,RECEIVED,139,11
136,RECEIVED,176,11
137,SENDING,106,11
138,RECEIVED,126,11
139,RECEIVED,164,11
140,RECEIVED,170,11
141,RECEIVED,117,11
142,RECEIVED,147,11
143,RECEIVED,187,11
144,SENDING,169,11
145,PENDING,240,11
146,RECEIVED,223,11
147,RECEIVED,125,11
148,RECEIVED,153,11
149,RECEIVED,239,11
150,RECEIVED,128,11
151,RECEIVED,158,11
152,PENDING,162,11
153,RECEIVED,208,11
154,RECEIVED,228,11
155,RECEIVED,121,11
156,RECEIVED,214,11
157,RECEIVED,221,11
158,SENDING,238,11
159,RECEIVED,215,11
160,RECEIVED,165,11
161,RECEIVED,244,12
162,RECEIVED,176,12
163,RECEIVED,129,12
164,SENDING,185,12
165,RECEIVED,168,12
166,RECEIVED,181,12
167,RECEIVED,196,12
168,RECEIVED,212,12
169,RECEIVED,137,12
