id,uid,name,start_date,end_date,business_id
1,0319bfd0,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-03-07 19:43:51.000,1
2,b32aa07e,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-07 19:43:51.000,3
3,edff3981,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-23 19:43:51.000,3
4,0c43fdec,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-18 19:43:51.000,3
5,32c92770,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-19 19:43:51.000,4
6,8c7be861,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-01 19:43:51.000,4
7,1ff9c4b1,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-05 19:43:51.000,5
8,b522e869,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-26 19:43:51.000,5
9,d7df11ff,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-18 19:43:51.000,5
10,ed274c56,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-20 19:43:51.000,9
11,d72653b5,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-27 19:43:51.000,9
12,2dce7299,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-28 19:43:51.000,9
13,21b9779c,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-15 19:43:51.000,10
14,37bac4ba,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-23 19:43:51.000,17
15,ebb81b48,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-21 19:43:51.000,20
16,a8b99a3e,Monthly Raffle,2026-02-07 19:43:51.000,2026-03-04 19:43:51.000,20
17,65a7e256,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-20 19:43:51.000,20
18,e208bb9b,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-05 19:43:51.000,26
19,c04d88c6,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-16 19:43:51.000,26
20,60bb048e,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-25 19:43:51.000,31
21,77b3e88b,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-03-01 19:43:51.000,32
22,e643447a,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-21 19:43:51.000,32
23,83ee011a,Monthly Raffle,2026-02-07 19:43:51.000,2026-03-09 19:43:51.000,33
24,52511731,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-25 19:43:51.000,33
25,c6245cb9,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-16 19:43:51.000,33
26,a40b6e92,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-16 19:43:51.000,35
27,3a421747,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-17 19:43:51.000,40
28,44ba5830,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-09 19:43:51.000,40
29,f96e035e,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-28 19:43:51.000,40
30,d2b6de5c,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-16 19:43:51.000,43
31,9baf1e97,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-27 19:43:51.000,43
32,d90fb9f7,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-17 19:43:51.000,45
33,7236e224,Monthly Raffle,2026-02-07 19:43:51.000,2026-03-03 19:43:51.000,47
34,39de0368,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-01 19:43:51.000,48
35,a9c53b39,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-15 19:43:51.000,52
36,22088e8e,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-03 19:43:51.000,56
37,e70348bf,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-19 19:43:51.000,56
38,0d48059c,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-18 19:43:51.000,58
39,7d1e70fb,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-20 19:43:51.000,59
40,09cf817a,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-19 19:43:51.000,61
41,b7f48eff,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-17 19:43:51.000,66
42,4ebd4e70,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-19 19:43:51.000,66
43,b3d7dc42,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-18 19:43:51.000,69
44,165ff912,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-17 19:43:51.000,73
45,a67e174a,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-03-02 19:43:51.000,73
46,d6f4c99d,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-18 19:43:51.000,74
47,0c718907,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-22 19:43:51.000,74
48,be641909,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-03-02 19:43:51.000,74
49,131d5e84,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-18 19:43:51.000,82
50,d249bf6e,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-24 19:43:51.000,86
51,f088f2f8,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-19 19:43:51.000,86
52,b321dffe,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-21 19:43:51.000,86
53,6c21675b,Monthly Raffle,2026-02-07 19:43:51.000,2026-03-04 19:43:51.000,87
54,e9db8c0a,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-03 19:43:51.000,87
55,238be05d,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-04 19:43:51.000,87
56,54af4009,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-09 19:43:51.000,92
57,cd34e880,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-07 19:43:51.000,92
58,7fdb51d8,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-16 19:43:51.000,96
59,1bd1d99b,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-14 19:43:51.000,96
60,8c71b651,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-21 19:43:51.000,98
61,4b097e49,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-17 19:43:51.000,98
62,10b0a74e,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-06 19:43:51.000,98
63,edfa5cb7,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-02 19:43:51.000,99
64,6ae7360c,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-03-04 19:43:51.000,99
65,6ba8259e,Monthly Raffle,2026-02-07 19:43:51.000,2026-03-06 19:43:51.000,99
66,c31e533a,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-28 19:43:51.000,104
67,12d5ca1c,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-18 19:43:51.000,104
68,308fbae4,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-25 19:43:51.000,106
69,af8ce1bd,Monthly Raffle,2026-02-07 19:43:51.000,2026-03-09 19:43:51.000,106
70,87bd70db,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-02 19:43:51.000,106
71,e6df21ce,Monthly Raffle,2026-02-07 19:43:51.000,2026-03-03 19:43:51.000,109
72,d08e28df,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-23 19:43:51.000,113
73,0fdf82e7,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-05 19:43:51.000,113
74,ae843138,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-18 19:43:51.000,114
75,d6314a37,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-27 19:43:51.000,114
76,89154531,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-28 19:43:51.000,114
77,5c1d8a38,Monthly Raffle,2026-02-07 19:43:51.000,2026-03-05 19:43:51.000,115
78,35e23e0c,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-09 19:43:51.000,115
79,90a81db3,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-27 19:43:51.000,116
80,66fe391d,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-05 19:43:51.000,116
81,12471e0f,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-16 19:43:51.000,129
82,4be639cb,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-18 19:43:51.000,129
83,ace0672c,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-18 19:43:51.000,129
84,10f765f5,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-17 19:43:51.000,132
85,9e725ce8,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-05 19:43:51.000,132
86,d0cbb6e8,Monthly Raffle,2026-02-07 19:43:51.000,2026-03-05 19:43:51.000,132
87,ca0be9be,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-24 19:43:51.000,133
88,14fc683e,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-26 19:43:51.000,133
89,895d5650,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-22 19:43:51.000,137
90,513a7e41,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-14 19:43:51.000,137
91,b850e0b6,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-03-09 19:43:51.000,139
92,eb961fd6,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-26 19:43:51.000,145
93,aa267452,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-02 19:43:51.000,145
94,8906280c,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-14 19:43:51.000,147
95,b94f397e,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-20 19:43:51.000,147
96,c6230670,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-23 19:43:51.000,148
97,87d764a6,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-06 19:43:51.000,149
98,d7e738d1,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-03-09 19:43:51.000,149
99,3c15457f,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-03-03 19:43:51.000,150
100,e3be5466,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-26 19:43:51.000,151
101,f012de56,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-20 19:43:51.000,156
102,65879983,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-28 19:43:51.000,157
103,71ba6ff9,Monthly Raffle,2026-02-07 19:43:51.000,2026-03-07 19:43:51.000,158
104,4e92ab7a,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-28 19:43:51.000,162
105,0d1a1995,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-19 19:43:51.000,162
106,d55db531,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-28 19:43:51.000,164
107,03b2ebee,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-19 19:43:51.000,165
108,f3dc0757,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-25 19:43:51.000,165
109,130c86d1,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-27 19:43:51.000,165
110,9a5466be,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-05 19:43:51.000,166
111,ba5b72e6,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-15 19:43:51.000,167
112,430b585d,Grand Prize Draw,2026-02-07 19:43:51.000,2026-02-22 19:43:51.000,167
113,928b2653,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-26 19:43:51.000,167
114,c9af76f8,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-02 19:43:51.000,170
115,271c64fb,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-09 19:43:51.000,171
116,2a1ec31b,Monthly Raffle,2026-02-07 19:43:51.000,2026-03-07 19:43:51.000,171
117,451518ab,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-26 19:43:51.000,171
118,62ae1337,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-09 19:43:51.000,177
119,5212b979,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-19 19:43:51.000,177
120,a8ad82dc,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-19 19:43:51.000,177
121,813bebff,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-26 19:43:51.000,179
122,1013c3c8,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-28 19:43:51.000,180
123,9d789c53,Monthly Raffle,2026-02-07 19:43:51.000,2026-02-21 19:43:51.000,180
124,8b77f24f,Grand Prize Draw,2026-02-07 19:43:51.000,2026-03-06 19:43:51.000,180
125,9ffd35e5,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-17 19:43:51.000,182
126,1bdd2403,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-07 19:43:51.000,182
127,5f263009,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-05 19:43:51.000,182
128,a254fb85,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-24 19:43:51.000,185
129,565bf400,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-03-02 19:43:51.000,195
130,6aee8cbd,Special Prize Draw,2026-02-07 19:43:51.000,2026-02-19 19:43:51.000,195
131,167a655f,Special Prize Draw,2026-02-07 19:43:51.000,2026-03-04 19:43:51.000,198
132,6ec6e2e8,Quarterly Giveaway,2026-02-07 19:43:51.000,2026-02-22 19:43:51.000,204
