id,created_at,type,rating,message,business_branch_id,customer_id
1,2025-07-11 04:52:32.000,REMOTE,5,"Best in the area, no doubt.",1,2
2,2026-04-01 08:33:50.000,REMOTE,3,"Average experience, nothing special.",2,5
3,2025-06-16 02:44:10.000,REMOTE,3,"Average experience, nothing special.",2,29
4,2025-08-28 00:20:31.000,REMOTE,5,Will definitely be back!,1,30
5,2025-09-11 12:25:41.000,LOCAL,4,"Very good, would come again.",1,31
6,2025-12-21 15:43:14.000,LOCAL,5,Always a pleasure coming here.,2,33
7,2026-03-02 02:43:02.000,REMOTE,4,Great service and friendly staff.,1,38
8,2025-10-30 04:36:14.000,LOCAL,4,Happy with my visit.,2,42
9,2025-09-21 18:33:55.000,LOCAL,5,Always a pleasure coming here.,3,55
10,2025-11-28 11:36:48.000,REMOTE,5,Excellent service! Highly recommended.,3,61
11,2026-02-14 09:29:51.000,REMOTE,3,OK but not outstanding.,3,63
12,2025-10-13 18:56:34.000,LOCAL,2,Disappointing visit.,4,72
13,2025-08-20 05:32:44.000,REMOTE,4,"Very good, would come again.",3,77
14,2026-04-02 09:49:21.000,REMOTE,3,OK but not outstanding.,3,80
15,2026-02-21 18:22:29.000,REMOTE,4,Solid experience overall.,3,89
16,2025-06-16 19:58:05.000,LOCAL,1,Not what I expected at all.,4,90
17,2025-08-07 10:08:33.000,REMOTE,3,"Decent, but could improve.",3,91
18,2025-08-21 10:45:59.000,REMOTE,3,"Decent, but could improve.",4,93
19,2026-03-07 13:49:12.000,LOCAL,5,Excellent service! Highly recommended.,3,94
20,2025-06-16 06:42:58.000,LOCAL,3,OK but not outstanding.,4,96
21,2025-08-29 09:41:04.000,LOCAL,4,"Very good, would come again.",3,104
22,2025-09-25 02:06:58.000,REMOTE,3,Expected a bit more to be honest.,3,105
23,2025-08-07 07:18:46.000,REMOTE,4,"Very good, would come again.",6,107
24,2026-01-11 15:05:53.000,LOCAL,2,Product did not meet my expectations.,6,108
25,2025-11-21 17:47:46.000,LOCAL,4,Great service and friendly staff.,5,110
26,2026-04-25 06:02:38.000,LOCAL,4,Great service and friendly staff.,5,113
27,2026-03-21 20:23:24.000,REMOTE,5,Excellent service! Highly recommended.,5,117
28,2026-03-14 21:51:08.000,REMOTE,1,Completely disappointed.,5,130
29,2025-08-04 04:15:41.000,LOCAL,5,Will definitely be back!,5,133
30,2025-08-30 07:19:06.000,REMOTE,4,Solid experience overall.,5,136
31,2026-01-04 13:48:51.000,LOCAL,5,Always a pleasure coming here.,6,138
32,2025-12-23 19:09:12.000,LOCAL,4,Happy with my visit.,6,144
33,2025-06-02 02:45:24.000,REMOTE,3,OK but not outstanding.,6,148
34,2026-01-21 02:09:21.000,REMOTE,5,Will definitely be back!,6,151
35,2025-05-13 23:37:16.000,REMOTE,3,OK but not outstanding.,5,158
36,2025-06-06 17:42:56.000,LOCAL,5,Will definitely be back!,5,164
37,2025-10-10 13:56:10.000,LOCAL,5,Will definitely be back!,6,175
38,2025-07-16 12:47:38.000,REMOTE,5,Excellent service! Highly recommended.,5,179
39,2025-10-06 01:34:09.000,REMOTE,5,"Best in the area, no doubt.",6,195
40,2025-09-04 16:19:41.000,LOCAL,5,Always a pleasure coming here.,6,204
41,2026-04-17 00:57:05.000,LOCAL,4,Great service and friendly staff.,5,207
42,2025-07-22 10:12:24.000,LOCAL,1,Completely disappointed.,5,226
43,2026-02-27 11:46:12.000,LOCAL,3,Expected a bit more to be honest.,5,230
44,2026-02-19 02:00:11.000,LOCAL,3,"Average experience, nothing special.",6,231
45,2025-10-28 17:42:27.000,REMOTE,3,"Average experience, nothing special.",6,232
46,2025-09-04 16:33:35.000,REMOTE,5,Will definitely be back!,6,234
47,2025-09-20 18:46:50.000,LOCAL,3,Expected a bit more to be honest.,5,235
48,2025-10-16 15:17:53.000,REMOTE,4,"Very good, would come again.",6,239
49,2025-10-22 10:00:53.000,REMOTE,5,"Best in the area, no doubt.",6,242
50,2025-08-27 19:05:02.000,REMOTE,5,Always a pleasure coming here.,10,248
51,2025-05-23 08:15:30.000,REMOTE,5,"Best in the area, no doubt.",10,263
52,2025-08-30 04:52:52.000,LOCAL,2,Service was quite slow today.,9,272
53,2026-04-30 16:43:33.000,REMOTE,5,Excellent service! Highly recommended.,10,285
54,2025-11-16 22:57:47.000,REMOTE,3,OK but not outstanding.,9,290
55,2025-07-15 04:29:10.000,REMOTE,1,Very poor service.,8,295
56,2025-07-16 19:16:57.000,REMOTE,4,Solid experience overall.,7,297
57,2025-08-02 22:14:37.000,LOCAL,4,"Very good, would come again.",10,301
58,2026-01-11 10:36:46.000,LOCAL,5,Excellent service! Highly recommended.,9,311
59,2025-05-27 10:43:07.000,REMOTE,5,Will definitely be back!,7,312
60,2025-11-28 07:08:14.000,LOCAL,5,Always a pleasure coming here.,9,313
61,2025-11-05 08:49:29.000,LOCAL,5,"Best in the area, no doubt.",9,318
62,2026-04-26 00:28:07.000,REMOTE,3,Expected a bit more to be honest.,8,324
63,2026-02-25 04:51:50.000,REMOTE,4,Solid experience overall.,10,326
64,2025-12-06 05:52:06.000,REMOTE,4,Happy with my visit.,9,329
