id,type,value,reward_id,business_id,enable,expiresInHours
1,TRANSACTION,1,1,1,1,1440
2,NEW_CLIENT,3,1,1,1,720
3,TRANSACTION,10,2,1,1,2160
4,BIRTHDAY,10,2,1,1,1440
5,TRANSACTION,2,3,1,1,2160
6,BIRTHDAY,10,3,1,1,2160
7,NEW_CLIENT,10,3,1,1,2160
8,BIRTHDAY,5,4,1,1,2160
9,NEW_CLIENT,2,4,1,1,4320
10,BIRTHDAY,2,5,2,1,2160
11,NEW_CLIENT,10,5,2,1,1440
12,BIRTHDAY,1,6,2,1,2160
13,NEW_CLIENT,5,6,2,1,1440
14,BIRTHDAY,1,7,2,1,720
15,NEW_CLIENT,3,7,2,1,720
16,BIRTHDAY,10,8,3,1,2160
17,NEW_CLIENT,5,9,3,1,720
18,TRANSACTION,10,10,3,1,1440
19,NEW_CLIENT,5,10,3,1,1440
20,BIRTHDAY,5,10,3,1,720
21,BIRTHDAY,10,11,3,1,720
22,BIRTHDAY,10,12,3,1,720
23,NEW_CLIENT,1,12,3,1,1440
24,TRANSACTION,5,12,3,1,720
25,NEW_CLIENT,10,13,4,1,1440
26,TRANSACTION,3,14,4,1,4320
27,NEW_CLIENT,1,14,4,1,1440
28,BIRTHDAY,1,14,4,1,2160
29,TRANSACTION,5,15,4,1,720
30,BIRTHDAY,5,16,4,1,720
31,TRANSACTION,2,16,4,1,720
32,TRANSACTION,3,17,4,1,4320
33,NEW_CLIENT,5,17,4,1,4320
34,BIRTHDAY,10,17,4,1,720
35,NEW_CLIENT,3,18,5,1,2160
36,BIRTHDAY,10,18,5,1,4320
37,NEW_CLIENT,5,19,5,1,4320
38,TRANSACTION,5,20,5,1,1440
39,NEW_CLIENT,10,21,5,1,720
40,BIRTHDAY,1,21,5,1,2160
41,TRANSACTION,2,21,5,1,1440
42,BIRTHDAY,2,22,6,1,4320
43,TRANSACTION,10,22,6,1,1440
44,NEW_CLIENT,10,22,6,1,1440
45,BIRTHDAY,2,23,6,1,720
46,TRANSACTION,10,23,6,1,4320
47,NEW_CLIENT,5,23,6,1,720
48,BIRTHDAY,10,24,6,1,720
49,NEW_CLIENT,1,24,6,1,4320
50,TRANSACTION,5,25,7,1,1440
51,BIRTHDAY,2,25,7,1,2160
52,NEW_CLIENT,1,26,7,1,1440
53,TRANSACTION,2,26,7,1,4320
54,BIRTHDAY,2,27,7,1,4320
55,TRANSACTION,3,27,7,1,2160
56,BIRTHDAY,3,28,7,1,4320
57,TRANSACTION,3,28,7,1,4320
58,NEW_CLIENT,3,28,7,1,720
59,NEW_CLIENT,3,29,7,1,720
60,TRANSACTION,3,29,7,1,1440
61,NEW_CLIENT,1,30,8,1,2160
62,TRANSACTION,10,30,8,1,2160
63,NEW_CLIENT,5,31,8,1,1440
64,NEW_CLIENT,2,32,9,1,4320
65,NEW_CLIENT,2,33,9,1,1440
66,TRANSACTION,1,33,9,1,720
67,TRANSACTION,10,34,9,1,1440
68,BIRTHDAY,3,34,9,1,2160
69,TRANSACTION,10,35,9,1,2160
70,NEW_CLIENT,3,35,9,1,720
71,BIRTHDAY,10,36,10,1,2160
72,TRANSACTION,10,37,10,1,720
73,NEW_CLIENT,10,37,10,1,4320
74,BIRTHDAY,5,38,11,1,720
75,TRANSACTION,2,38,11,1,1440
76,NEW_CLIENT,10,38,11,1,1440
77,TRANSACTION,1,39,11,1,720
78,NEW_CLIENT,1,39,11,1,2160
79,TRANSACTION,3,40,11,1,4320
80,TRANSACTION,10,41,11,1,4320
81,TRANSACTION,10,42,12,1,2160
82,NEW_CLIENT,3,42,12,1,2160
83,BIRTHDAY,5,42,12,1,1440
84,NEW_CLIENT,1,43,12,1,1440
85,TRANSACTION,5,43,12,1,720
86,BIRTHDAY,2,44,12,1,4320
87,TRANSACTION,1,44,12,1,4320
88,BIRTHDAY,3,45,13,1,2160
89,BIRTHDAY,1,46,13,1,720
90,TRANSACTION,5,46,13,1,1440
91,BIRTHDAY,3,47,14,1,1440
92,NEW_CLIENT,1,47,14,1,2160
93,BIRTHDAY,3,48,14,1,2160
94,NEW_CLIENT,1,48,14,1,1440
95,TRANSACTION,3,48,14,1,1440
96,BIRTHDAY,2,49,14,1,720
97,NEW_CLIENT,1,50,15,1,2160
98,BIRTHDAY,10,51,15,1,720
99,TRANSACTION,10,51,15,1,720
100,BIRTHDAY,5,52,15,1,1440
101,TRANSACTION,2,53,15,1,2160
102,BIRTHDAY,10,54,16,1,1440
103,NEW_CLIENT,1,54,16,1,1440
104,TRANSACTION,10,55,16,1,1440
105,BIRTHDAY,10,56,16,1,2160
106,TRANSACTION,5,57,17,1,4320
107,NEW_CLIENT,10,57,17,1,1440
108,BIRTHDAY,2,57,17,1,1440
109,BIRTHDAY,5,58,17,1,2160
110,NEW_CLIENT,5,58,17,1,2160
111,TRANSACTION,2,58,17,1,720
112,NEW_CLIENT,2,59,17,1,4320
113,BIRTHDAY,10,59,17,1,4320
114,TRANSACTION,5,59,17,1,1440
115,NEW_CLIENT,1,60,18,1,1440
116,BIRTHDAY,2,60,18,1,4320
117,BIRTHDAY,5,61,18,1,4320
118,TRANSACTION,2,61,18,1,2160
119,NEW_CLIENT,2,61,18,1,4320
120,TRANSACTION,5,62,18,1,4320
121,BIRTHDAY,5,62,18,1,4320
122,NEW_CLIENT,2,63,18,1,720
123,TRANSACTION,3,63,18,1,4320
124,TRANSACTION,10,64,19,1,4320
125,BIRTHDAY,10,64,19,1,1440
126,NEW_CLIENT,1,64,19,1,2160
127,NEW_CLIENT,10,65,19,1,4320
128,TRANSACTION,10,66,20,1,720
129,NEW_CLIENT,5,67,20,1,2160
130,NEW_CLIENT,5,68,20,1,4320
131,TRANSACTION,1,68,20,1,2160
132,BIRTHDAY,2,69,21,1,1440
133,BIRTHDAY,10,70,21,1,2160
134,NEW_CLIENT,10,70,21,1,4320
135,TRANSACTION,3,70,21,1,720
136,TRANSACTION,1,71,22,1,2160
137,BIRTHDAY,5,71,22,1,2160
138,TRANSACTION,2,72,22,1,4320
139,BIRTHDAY,10,72,22,1,2160
140,NEW_CLIENT,2,72,22,1,720
141,TRANSACTION,2,73,22,1,720
142,BIRTHDAY,10,73,22,1,4320
143,TRANSACTION,5,74,22,1,1440
144,BIRTHDAY,10,74,22,1,2160
145,NEW_CLIENT,1,75,23,1,4320
146,TRANSACTION,1,76,23,1,720
147,NEW_CLIENT,5,76,23,1,4320
148,BIRTHDAY,10,76,23,1,1440
149,BIRTHDAY,1,77,24,1,1440
150,NEW_CLIENT,2,77,24,1,2160
151,TRANSACTION,1,77,24,1,720
152,NEW_CLIENT,3,78,24,1,2160
153,BIRTHDAY,1,79,24,1,720
154,TRANSACTION,5,79,24,1,720
155,NEW_CLIENT,3,80,24,1,4320
156,NEW_CLIENT,3,81,24,1,1440
157,BIRTHDAY,10,81,24,1,2160
158,TRANSACTION,1,81,24,1,1440
159,BIRTHDAY,1,82,25,1,4320
160,NEW_CLIENT,2,82,25,1,4320
161,BIRTHDAY,1,83,25,1,2160
162,TRANSACTION,1,83,25,1,4320
163,BIRTHDAY,5,84,25,1,2160
164,TRANSACTION,2,84,25,1,2160
165,NEW_CLIENT,10,84,25,1,4320
166,NEW_CLIENT,10,85,25,1,1440
167,TRANSACTION,2,85,25,1,2160
168,BIRTHDAY,1,85,25,1,1440
169,TRANSACTION,3,86,26,1,1440
170,BIRTHDAY,5,86,26,1,2160
171,TRANSACTION,1,87,26,1,4320
172,BIRTHDAY,3,87,26,1,1440
173,NEW_CLIENT,2,87,26,1,1440
174,BIRTHDAY,1,88,26,1,720
175,BIRTHDAY,2,89,26,1,1440
176,NEW_CLIENT,3,89,26,1,1440
177,TRANSACTION,2,89,26,1,1440
178,BIRTHDAY,3,90,26,1,4320
179,NEW_CLIENT,2,90,26,1,1440
180,NEW_CLIENT,3,91,27,1,720
181,BIRTHDAY,5,91,27,1,4320
182,TRANSACTION,3,92,27,1,2160
183,BIRTHDAY,5,93,27,1,2160
184,TRANSACTION,10,94,27,1,1440
185,BIRTHDAY,3,94,27,1,720
186,NEW_CLIENT,10,95,28,1,4320
187,TRANSACTION,10,95,28,1,2160
188,BIRTHDAY,5,95,28,1,1440
189,BIRTHDAY,10,96,28,1,1440
190,NEW_CLIENT,5,96,28,1,2160
191,TRANSACTION,3,96,28,1,720
192,NEW_CLIENT,10,97,28,1,720
193,BIRTHDAY,1,97,28,1,720
194,TRANSACTION,5,97,28,1,720
195,TRANSACTION,1,98,29,1,2160
196,NEW_CLIENT,10,98,29,1,720
197,BIRTHDAY,2,98,29,1,4320
198,BIRTHDAY,2,99,29,1,4320
199,NEW_CLIENT,10,99,29,1,4320
200,TRANSACTION,10,99,29,1,4320
201,BIRTHDAY,2,100,30,1,1440
202,BIRTHDAY,2,101,30,1,4320
203,TRANSACTION,2,101,30,1,1440
204,TRANSACTION,1,102,30,1,4320
205,NEW_CLIENT,3,102,30,1,2160
206,BIRTHDAY,1,102,30,1,4320
207,TRANSACTION,3,103,30,1,4320
208,NEW_CLIENT,2,103,30,1,720
209,BIRTHDAY,2,104,30,1,2160
210,TRANSACTION,2,104,30,1,1440
211,NEW_CLIENT,1,105,31,1,1440
212,BIRTHDAY,3,106,31,1,2160
213,TRANSACTION,1,106,31,1,1440
214,BIRTHDAY,10,107,32,1,2160
215,TRANSACTION,1,107,32,1,4320
216,NEW_CLIENT,1,107,32,1,1440
217,TRANSACTION,1,108,32,1,1440
218,BIRTHDAY,5,109,32,1,2160
219,NEW_CLIENT,10,109,32,1,2160
220,NEW_CLIENT,10,110,32,1,720
221,TRANSACTION,3,110,32,1,1440
222,NEW_CLIENT,10,111,33,1,4320
223,BIRTHDAY,10,112,33,1,720
224,NEW_CLIENT,10,113,33,1,2160
225,TRANSACTION,5,114,33,1,720
226,TRANSACTION,10,115,33,1,720
227,NEW_CLIENT,5,115,33,1,720
228,BIRTHDAY,3,116,34,1,720
229,TRANSACTION,5,116,34,1,1440
230,NEW_CLIENT,5,116,34,1,4320
231,NEW_CLIENT,5,117,34,1,1440
232,BIRTHDAY,10,117,34,1,4320
233,TRANSACTION,1,117,34,1,1440
234,NEW_CLIENT,1,118,34,1,2160
235,TRANSACTION,3,118,34,1,1440
236,BIRTHDAY,5,119,35,1,1440
237,BIRTHDAY,1,120,35,1,2160
238,TRANSACTION,3,121,35,1,2160
239,NEW_CLIENT,1,122,35,1,4320
240,BIRTHDAY,2,122,35,1,4320
241,NEW_CLIENT,10,123,35,1,720
242,BIRTHDAY,10,123,35,1,2160
243,TRANSACTION,1,124,36,1,2160
244,BIRTHDAY,3,125,36,1,2160
245,NEW_CLIENT,1,125,36,1,2160
246,BIRTHDAY,1,126,36,1,4320
247,NEW_CLIENT,10,126,36,1,2160
248,NEW_CLIENT,10,127,37,1,720
249,NEW_CLIENT,5,128,37,1,2160
250,NEW_CLIENT,5,129,38,1,4320
251,TRANSACTION,3,129,38,1,720
252,BIRTHDAY,10,129,38,1,4320
253,TRANSACTION,3,130,38,1,2160
254,TRANSACTION,1,131,38,1,2160
255,BIRTHDAY,10,132,39,1,2160
256,BIRTHDAY,5,133,39,1,4320
257,TRANSACTION,2,133,39,1,4320
258,NEW_CLIENT,1,133,39,1,4320
259,NEW_CLIENT,1,134,39,1,1440
260,TRANSACTION,2,134,39,1,2160
261,BIRTHDAY,1,135,39,1,1440
262,TRANSACTION,5,135,39,1,1440
263,NEW_CLIENT,1,135,39,1,720
264,NEW_CLIENT,2,136,40,1,4320
265,BIRTHDAY,5,136,40,1,720
266,TRANSACTION,5,136,40,1,1440
267,NEW_CLIENT,1,137,40,1,2160
268,BIRTHDAY,10,137,40,1,4320
269,TRANSACTION,1,137,40,1,2160
270,NEW_CLIENT,3,138,41,1,2160
271,BIRTHDAY,5,138,41,1,1440
272,TRANSACTION,2,138,41,1,4320
273,NEW_CLIENT,1,139,41,1,2160
274,BIRTHDAY,1,140,41,1,720
275,TRANSACTION,2,141,42,1,1440
276,BIRTHDAY,3,141,42,1,4320
277,NEW_CLIENT,2,141,42,1,1440
278,NEW_CLIENT,1,142,42,1,2160
279,TRANSACTION,3,142,42,1,2160
280,BIRTHDAY,2,142,42,1,720
281,BIRTHDAY,3,143,43,1,720
282,NEW_CLIENT,5,143,43,1,720
283,TRANSACTION,5,143,43,1,720
284,BIRTHDAY,3,144,43,1,2160
285,TRANSACTION,2,144,43,1,2160
286,NEW_CLIENT,3,144,43,1,1440
287,NEW_CLIENT,2,145,43,1,720
288,BIRTHDAY,1,145,43,1,2160
289,TRANSACTION,1,145,43,1,720
290,NEW_CLIENT,10,146,44,1,1440
291,TRANSACTION,3,146,44,1,2160
292,BIRTHDAY,3,146,44,1,2160
293,TRANSACTION,3,147,44,1,720
294,BIRTHDAY,3,147,44,1,4320
295,TRANSACTION,1,148,44,1,1440
296,BIRTHDAY,5,148,44,1,2160
297,BIRTHDAY,3,149,44,1,1440
298,NEW_CLIENT,2,149,44,1,1440
299,TRANSACTION,3,149,44,1,1440
300,TRANSACTION,10,150,45,1,720
301,BIRTHDAY,3,151,45,1,4320
302,NEW_CLIENT,1,151,45,1,720
303,NEW_CLIENT,3,152,45,1,2160
304,TRANSACTION,10,153,45,1,4320
305,NEW_CLIENT,5,153,45,1,2160
306,BIRTHDAY,1,153,45,1,1440
307,NEW_CLIENT,10,154,46,1,1440
308,BIRTHDAY,3,154,46,1,1440
309,TRANSACTION,10,154,46,1,720
310,TRANSACTION,1,155,46,1,2160
311,NEW_CLIENT,3,155,46,1,4320
312,BIRTHDAY,3,156,46,1,720
313,TRANSACTION,5,156,46,1,720
314,BIRTHDAY,5,157,46,1,1440
315,TRANSACTION,2,157,46,1,1440
316,NEW_CLIENT,2,157,46,1,2160
317,TRANSACTION,3,158,46,1,720
318,NEW_CLIENT,5,158,46,1,1440
319,BIRTHDAY,1,158,46,1,4320
320,NEW_CLIENT,10,159,47,1,720
321,BIRTHDAY,3,159,47,1,720
322,NEW_CLIENT,1,160,47,1,1440
323,BIRTHDAY,2,160,47,1,720
324,NEW_CLIENT,3,161,48,1,720
325,TRANSACTION,2,162,48,1,720
326,NEW_CLIENT,1,162,48,1,1440
327,BIRTHDAY,10,163,48,1,4320
328,TRANSACTION,5,163,48,1,2160
329,BIRTHDAY,10,164,48,1,1440
330,BIRTHDAY,1,165,49,1,1440
331,TRANSACTION,10,165,49,1,2160
332,BIRTHDAY,1,166,49,1,720
333,BIRTHDAY,1,167,50,1,1440
334,TRANSACTION,3,167,50,1,720
335,NEW_CLIENT,3,167,50,1,1440
336,BIRTHDAY,3,168,50,1,2160
337,NEW_CLIENT,1,168,50,1,1440
338,TRANSACTION,5,169,50,1,720
339,BIRTHDAY,3,170,50,1,720
340,NEW_CLIENT,2,170,50,1,4320
341,TRANSACTION,3,170,50,1,1440
342,TRANSACTION,2,171,51,1,1440
343,NEW_CLIENT,1,171,51,1,4320
344,BIRTHDAY,1,171,51,1,2160
345,TRANSACTION,5,172,51,1,1440
346,TRANSACTION,1,173,52,1,4320
347,BIRTHDAY,2,173,52,1,2160
348,NEW_CLIENT,10,174,52,1,2160
349,TRANSACTION,1,174,52,1,1440
350,NEW_CLIENT,2,175,53,1,1440
351,TRANSACTION,10,175,53,1,1440
352,BIRTHDAY,10,175,53,1,4320
353,TRANSACTION,10,176,53,1,720
354,NEW_CLIENT,5,176,53,1,1440
355,BIRTHDAY,3,176,53,1,1440
356,TRANSACTION,1,177,53,1,1440
357,NEW_CLIENT,5,177,53,1,720
358,BIRTHDAY,1,177,53,1,1440
359,NEW_CLIENT,3,178,53,1,4320
360,TRANSACTION,1,178,53,1,720
361,BIRTHDAY,1,178,53,1,720
362,NEW_CLIENT,3,179,53,1,4320
363,BIRTHDAY,1,179,53,1,2160
364,TRANSACTION,5,180,54,1,4320
365,NEW_CLIENT,2,181,54,1,1440
366,TRANSACTION,2,181,54,1,2160
367,BIRTHDAY,5,182,54,1,2160
368,TRANSACTION,10,182,54,1,2160
369,NEW_CLIENT,2,182,54,1,720
370,TRANSACTION,10,183,54,1,1440
371,BIRTHDAY,5,184,54,1,4320
372,NEW_CLIENT,3,184,54,1,4320
373,TRANSACTION,2,184,54,1,720
374,TRANSACTION,10,185,55,1,2160
375,BIRTHDAY,5,185,55,1,1440
376,NEW_CLIENT,1,185,55,1,2160
377,TRANSACTION,1,186,55,1,4320
378,NEW_CLIENT,2,186,55,1,2160
379,NEW_CLIENT,2,187,55,1,2160
380,BIRTHDAY,10,187,55,1,2160
381,TRANSACTION,3,187,55,1,2160
382,TRANSACTION,1,188,55,1,2160
383,BIRTHDAY,10,189,55,1,720
384,TRANSACTION,1,189,55,1,1440
385,TRANSACTION,5,190,56,1,720
386,BIRTHDAY,5,190,56,1,4320
387,NEW_CLIENT,1,191,56,1,4320
388,TRANSACTION,10,191,56,1,720
389,BIRTHDAY,2,191,56,1,4320
390,NEW_CLIENT,1,192,56,1,2160
391,BIRTHDAY,10,192,56,1,4320
392,TRANSACTION,5,193,57,1,720
393,BIRTHDAY,2,193,57,1,720
394,TRANSACTION,2,194,57,1,1440
395,BIRTHDAY,2,195,57,1,720
396,BIRTHDAY,1,196,57,1,4320
397,TRANSACTION,1,196,57,1,4320
398,NEW_CLIENT,2,196,57,1,1440
399,TRANSACTION,1,197,57,1,4320
400,TRANSACTION,3,198,58,1,2160
401,BIRTHDAY,1,198,58,1,2160
402,NEW_CLIENT,2,199,58,1,2160
403,BIRTHDAY,1,199,58,1,1440
404,NEW_CLIENT,3,200,58,1,2160
405,TRANSACTION,5,201,59,1,720
406,BIRTHDAY,1,201,59,1,720
407,TRANSACTION,10,202,59,1,2160
408,TRANSACTION,3,203,59,1,720
409,BIRTHDAY,1,204,60,1,4320
410,NEW_CLIENT,10,205,60,1,4320
411,TRANSACTION,1,206,60,1,720
412,NEW_CLIENT,3,207,61,1,1440
413,NEW_CLIENT,10,208,61,1,2160
414,BIRTHDAY,1,208,61,1,1440
415,BIRTHDAY,10,209,61,1,720
416,TRANSACTION,5,210,61,1,2160
417,NEW_CLIENT,5,210,61,1,4320
418,BIRTHDAY,3,211,62,1,1440
419,NEW_CLIENT,3,211,62,1,720
420,TRANSACTION,2,211,62,1,1440
421,NEW_CLIENT,10,212,62,1,4320
422,TRANSACTION,5,212,62,1,4320
423,NEW_CLIENT,5,213,62,1,720
424,BIRTHDAY,10,213,62,1,2160
425,BIRTHDAY,5,214,62,1,4320
426,BIRTHDAY,10,215,62,1,1440
427,TRANSACTION,3,216,63,1,1440
428,NEW_CLIENT,5,216,63,1,2160
429,TRANSACTION,1,217,63,1,2160
430,BIRTHDAY,2,217,63,1,4320
431,NEW_CLIENT,10,217,63,1,2160
432,BIRTHDAY,2,218,63,1,4320
433,NEW_CLIENT,5,219,63,1,720
434,TRANSACTION,3,220,64,1,720
435,BIRTHDAY,10,220,64,1,720
436,NEW_CLIENT,1,221,64,1,4320
437,BIRTHDAY,1,221,64,1,2160
438,TRANSACTION,10,221,64,1,2160
439,BIRTHDAY,1,222,64,1,2160
440,NEW_CLIENT,5,222,64,1,720
441,NEW_CLIENT,3,223,65,1,1440
442,BIRTHDAY,10,223,65,1,1440
443,TRANSACTION,2,223,65,1,4320
444,BIRTHDAY,3,224,65,1,720
445,TRANSACTION,5,225,66,1,720
446,NEW_CLIENT,3,225,66,1,4320
447,BIRTHDAY,10,225,66,1,4320
448,TRANSACTION,5,226,66,1,720
449,NEW_CLIENT,3,226,66,1,2160
450,BIRTHDAY,2,226,66,1,720
451,NEW_CLIENT,2,227,66,1,720
452,TRANSACTION,10,227,66,1,1440
453,BIRTHDAY,2,228,66,1,1440
454,NEW_CLIENT,3,228,66,1,4320
455,NEW_CLIENT,10,229,66,1,2160
456,TRANSACTION,10,229,66,1,4320
457,TRANSACTION,2,230,67,1,2160
458,BIRTHDAY,3,231,67,1,720
459,NEW_CLIENT,2,231,67,1,4320
460,BIRTHDAY,3,232,67,1,2160
461,TRANSACTION,1,232,67,1,720
462,BIRTHDAY,2,233,68,1,1440
463,TRANSACTION,5,233,68,1,720
464,NEW_CLIENT,5,233,68,1,4320
