id,name,business_id,created_at,externalReference,cost,type
1,Complimentary upgrade,1,2025-07-12 19:43:51.000,34f2b50e,0,OTHER
2,Free product,1,2025-07-12 19:43:51.000,e67d11d3,0,FREE_PRODUCT
3,15% discount,1,2025-07-12 19:43:51.000,1ca6bf74,0,DISCOUNT
4,Buy 9 get 1 free,1,2025-07-12 19:43:51.000,be81846c,0,FREE_PRODUCT
5,Free dessert,2,2025-07-12 19:43:51.000,3686aa11,500,FREE_PRODUCT
6,Free coffee,2,2025-07-12 19:43:51.000,bf8a8f28,150,FREE_PRODUCT
7,20% off any purchase,2,2025-07-12 19:43:51.000,03bbdcbb,800,DISCOUNT
8,20% off any purchase,3,2025-07-12 19:43:51.000,40103cef,800,DISCOUNT
9,Birthday bonus,3,2025-07-12 19:43:51.000,d18fa9ce,0,OTHER
10,10% off next visit,3,2025-07-12 19:43:51.000,3280ab49,300,DISCOUNT
11,Free coffee,3,2025-07-12 19:43:51.000,450ff586,150,FREE_PRODUCT
12,Free dessert,3,2025-07-12 19:43:51.000,71d2c6f9,500,FREE_PRODUCT
13,Free dessert,4,2025-07-12 19:43:51.000,acda324b,500,FREE_PRODUCT
14,Free coffee,4,2025-07-12 19:43:51.000,08d3a5c8,150,FREE_PRODUCT
15,10% off next visit,4,2025-07-12 19:43:51.000,79d6f970,300,DISCOUNT
16,Birthday bonus,4,2025-07-12 19:43:51.000,5bc51b9b,0,OTHER
17,20% off any purchase,4,2025-07-12 19:43:51.000,aa1fa150,800,DISCOUNT
18,Free product,5,2025-07-12 19:43:51.000,67f638a9,0,FREE_PRODUCT
19,Buy 9 get 1 free,5,2025-07-12 19:43:51.000,90a32506,0,FREE_PRODUCT
20,Complimentary upgrade,5,2025-07-12 19:43:51.000,5923adf3,0,OTHER
21,15% discount,5,2025-07-12 19:43:51.000,ec2323e6,0,DISCOUNT
22,Free dessert,6,2025-07-12 19:43:51.000,c1435b67,500,FREE_PRODUCT
23,10% off next visit,6,2025-07-12 19:43:51.000,d2da903b,300,DISCOUNT
24,20% off any purchase,6,2025-07-12 19:43:51.000,7997a6c4,800,DISCOUNT
25,10% off next visit,7,2025-07-12 19:43:51.000,3def3e5c,300,DISCOUNT
